"","term","Royds","Croz"
"1","Area",6.35536516359637e-11,0
"2","Perim/area_ratio",0.00228803540676882,0.0329075686987666
"3","Elevation",0.00433331036630983,0.0248988926311623
"4","Slope",3.56542658986499e-09,0.023842406503564
"5","Aspect",0.000731241398793908,0
"6","Wind_shelter",1.29879438830086e-09,0.00273170301236929
"7","flow_acc",0.00347663529262408,0.0162932933155161
"8","skua",1.11860405630509e-10,8.98252716280805e-06
"9","subcolID",0.28543504203972,0.052248273108965
