Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,wb,1,18,72.000000000000000,179.528366088867190,191.435638427734370,11.907272338867188,186.225565592447910,2.701229563903303,3352.060180664062500
,b26,2,318,1272.000000000000000,161.732101440429690,191.336898803710940,29.604797363281250,177.369496759378680,6.107559557775782,56403.499969482422000
,b25,3,4,16.000000000000000,228.611816406250000,232.230133056640620,3.618316650390625,230.941585540771480,1.413074826869400,923.766342163085940
,b24,4,51,204.000000000000000,187.777023315429690,242.312103271484370,54.535079956054688,209.478912951899500,9.811238760078147,10683.424560546875000
,b23,5,229,916.000000000000000,108.553749084472660,221.845886230468750,113.292137145996090,173.843306395684780,27.226854583349464,39810.117164611816000
,b12,6,38,152.000000000000000,151.718261718750000,223.233062744140620,71.514801025390625,210.047676487972860,16.302143394914943,7981.811706542968700
,n10,7,19,76.000000000000000,243.695922851562500,259.641174316406250,15.945251464843750,248.648100200452290,4.715448313692135,4724.313903808593700
,n28,8,5,20.000000000000000,231.847229003906250,260.090728759765620,28.243499755859375,239.446722412109380,10.849968288266453,1197.233612060546900
,c58,9,59,236.000000000000000,180.462951660156250,330.617645263671870,150.154693603515620,267.826470326569110,40.408734313208505,15801.761749267578000
,m27,10,11,44.000000000000000,229.611648559570310,249.608505249023440,19.996856689453125,237.755371093750000,6.476093458461618,2615.309082031250000
,c46,11,16,64.000000000000000,213.274887084960940,219.970031738281250,6.695144653320313,215.997532844543460,1.984705439702707,3455.960525512695300
,c6,12,22,88.000000000000000,234.889495849609370,254.470794677734370,19.581298828125000,242.747229142622500,5.359406385667449,5340.439041137695300
,m28,13,20,80.000000000000000,235.641235351562500,240.610656738281250,4.969421386718750,237.234361267089840,1.358175582511511,4744.687225341796900
,m29,14,12,48.000000000000000,228.412475585937500,237.314361572265620,8.901885986328125,233.322678883870450,2.516459226534385,2799.872146606445300
,m25,15,9,36.000000000000000,235.919876098632810,240.760559082031250,4.840682983398438,237.914978027343750,1.416640071624376,2141.234802246093700
,m23a,16,5,20.000000000000000,234.700653076171870,245.452880859375000,10.752227783203125,239.367800903320300,3.588616741866699,1196.839004516601600
,m11,17,1,4.000000000000000,206.491790771484370,206.491790771484370,0.000000000000000,206.491790771484370,0.000000000000000,206.491790771484370
,m22a,18,2,8.000000000000000,237.328186035156250,238.837463378906250,1.509277343750000,238.082824707031250,0.754638671875000,476.165649414062500
,m23,19,46,184.000000000000000,215.435470581054690,240.023147583007810,24.587677001953125,227.704289975373650,7.557320355542039,10474.397338867187000
,m24,20,4,16.000000000000000,249.619445800781250,256.862182617187500,7.242736816406250,252.962593078613280,2.580766344614362,1011.850372314453100
,m21,21,28,112.000000000000000,233.415756225585940,255.934219360351560,22.518463134765625,242.805434090750570,4.577250308514341,6798.552154541015600
,m16-22,22,27,108.000000000000000,218.993164062500000,241.435882568359370,22.442718505859375,228.609811288339130,6.408545990183891,6172.464904785156200
,m12,23,41,164.000000000000000,197.011749267578130,224.115356445312500,27.103607177734375,213.724210413490850,5.549570902121372,8762.692626953125000
,c51,24,18,72.000000000000000,235.798324584960940,251.783172607421880,15.984848022460937,242.887124803331180,6.216485318822923,4371.968246459960900
,c38,25,13,52.000000000000000,231.884323120117190,234.587448120117190,2.703125000000000,233.215639554537260,0.927217404400575,3031.803314208984400
,c24,26,28,112.000000000000000,217.168609619140630,244.674713134765620,27.506103515625000,228.831806727818080,5.322440485255079,6407.290588378906200
,c37,27,13,52.000000000000000,220.893508911132810,224.316085815429690,3.422576904296875,222.174655620868380,1.000951116486268,2888.270523071289100
,p55,28,8,32.000000000000000,218.447586059570310,220.299972534179690,1.852386474609375,219.142011642456050,0.615834372894655,1753.136093139648400
,m33-34-35,29,229,916.000000000000000,212.610351562500000,231.099761962890620,18.489410400390625,224.008023591020730,4.993759263831455,51297.837402343750000
,m6a,30,17,68.000000000000000,238.680923461914060,259.009033203125000,20.328109741210938,248.749320535098800,5.562549853000048,4228.738449096679700
,m5,31,38,152.000000000000000,222.719909667968750,262.256652832031250,39.536743164062500,249.021525332802210,11.115586108402171,9462.817962646484400
,m4,32,21,84.000000000000000,259.855895996093750,344.016326904296870,84.160430908203125,294.070250011625720,22.109587456745004,6175.475250244140600
,m1a,33,13,52.000000000000000,189.219009399414060,204.087554931640620,14.868545532226563,198.323873666616580,4.545816766347635,2578.210357666015600
,m14,34,6,24.000000000000000,216.271163940429690,219.435073852539060,3.163909912109375,218.091255187988280,1.033809299851306,1308.547531127929700
,m14a,35,25,100.000000000000000,200.630599975585940,215.241241455078120,14.610641479492188,207.947812500000000,4.051097938690556,5198.695312500000000
,m38,36,46,184.000000000000000,229.081604003906250,268.045471191406250,38.963867187500000,250.161145749299440,8.814761951882028,11507.412704467773000
,m36,37,13,52.000000000000000,211.596282958984370,229.118408203125000,17.522125244140625,220.066788893479550,4.536049598624458,2860.868255615234400
,mis,38,34,136.000000000000000,57.154445648193359,291.005096435546870,233.850650787353520,217.423595316269830,56.040121219546712,7392.402240753173800
