FID,subcol,notes,perim,area,pa_ratio,Rowid_,FID_1,GRIDCODE,FREQUENCY,SUM_AREA,SUBCOLID
0,wb, ,81.7445984,87.9503021,0.9294420,1,0,1,1,10.024800300598145,0
1,b26,"merged, counted this partial",270.5939941,1324.6600342,0.2042740,2,0,2,1,3232.939941406250000,1
2,b25, ,26.0655994,22.1588001,1.1763099,3,0,3,1,2770.419921875000000,2
3,b24, ,85.9607010,216.1300049,0.3977260,4,0,4,3,22445.752685546875000,3
4,b23, ,244.2810059,938.5189819,0.2602830,5,0,5,1,3684.330078125000000,4
5,b12, ,84.6094971,161.8430023,0.5227890,6,0,6,1,405.485992431640620,5
6,n10, ,57.0497017,70.7431030,0.8064340,,,,,,
7,n28, ,38.4487000,25.2406006,1.5232900,,,,,,
8,c58, ,96.5752029,241.4779968,0.3999340,,,,,,
9,m27, ,32.0726013,47.5191002,0.6749410,7,0,10,1,4.644730091094971,9
10,c46, ,60.0834007,64.5150986,0.9313090,8,0,11,3,557.148399353027340,10
11,c6, ,87.3765030,85.0048981,1.0279000,,,,,,
12,m28, ,57.4328995,80.6858978,0.7118090,9,0,13,2,319.006904602050780,12
13,m29, ,49.9878998,55.2020988,0.9055440,10,0,14,5,1274.165366306901000,13
14,m25, ,27.7171993,36.0180016,0.7695380,,,,,,
15,m23a, ,31.3302002,32.3485985,0.9685160,,,,,,
16,m11, ,16.5737000,9.7281904,1.7036800,,,,,,
17,m22a, ,9.7237902,5.4099598,1.7973900,,,,,,
18,m23, ,106.6790009,193.5260010,0.5512370,11,0,19,3,436.483795166015620,18
19,m24, ,22.1793995,19.9820995,1.1099600,,,,,,
20,m21, ,66.8520966,122.0139999,0.5479060,,,,,,
21,m16-22, ,49.5682983,100.4550018,0.4934360,,,,,,
22,m12, ,120.9359970,181.8679962,0.6649690,12,0,23,8,482.296462535858150,22
23,c51, ,77.3182983,68.1303024,1.1348600,13,0,24,3,42.461188554763794,23
24,c38, ,47.6930008,54.0620995,0.8821890,14,0,25,4,1018.121894598007200,24
25,c24, ,70.1667023,117.4950027,0.5971880,15,0,26,8,907.726747035980220,25
26,c37, ,41.2778015,52.0318985,0.7933170,16,0,27,1,70.030899047851562,26
27,p55, ,40.3227005,32.9704018,1.2230000,17,0,28,1,48.702499389648438,27
28,m33-34-35, ,309.5260010,965.8859863,0.3204580,18,0,29,4,1445.471855163574200,28
29,m6a, ,46.0093002,67.1912003,0.6847510,,,,,,
30,m5, ,106.5500031,153.6419983,0.6934940,,,,,,
31,m4, ,49.6002998,78.4977036,0.6318700,,,,,,
32,m1a, ,61.3404007,49.1786003,1.2473000,,,,,,
33,m14, ,21.9650002,24.8206005,0.8849480,,,,,,
34,m14a, ,66.4116974,97.0130005,0.6845650,,,,,,
35,m38, ,87.4979019,205.0249939,0.4267680,,,,,,
36,m36, ,42.0918999,50.5134010,0.8332820,,,,,,
37,mis, ,67.7711029,143.1690063,0.4733660,19,0,38,4,8971.597915649414100,37
38,p63, ,62.3361015,106.8349991,0.5834820,20,0,39,1,267.373992919921870,38
39,p42, ,104.9380035,150.1519928,0.6988790,,,,,,
40,p44,merged version of p44,119.6940002,226.1629944,0.5292350,21,0,41,6,10593.119945526123000,40
41,p22, ,31.1135998,40.5481987,0.7673240,,,,,,
42,p24, ,92.8778000,149.5010071,0.6212500,22,0,43,2,97.848597526550293,42
43,p33, ,52.2156982,74.4999008,0.7008830,23,0,44,3,161.049005214281350,43
44,p39, ,41.3063011,53.3844986,0.7737510,,,,,,
45,p21, ,87.7604980,98.9235992,0.8871550,24,0,46,1,1.030060052871704,45
46,qr132, ,39.0139008,60.2571983,0.6474570,,,,,,
47,qr20, ,82.1378021,161.6069946,0.5082560,,,,,,
48,s39, ,29.8806992,45.6757011,0.6541920,,,,,,
49,s5, ,38.8278999,51.4757004,0.7542970,,,,,,
50,qr65, ,82.2023010,137.4530029,0.5980370,,,,,,
51,d22, ,44.1815987,33.1534996,1.3326401,,,,,,
52,d16, ,43.5969009,45.2103996,0.9643120,,,,,,
53,d9-11, ,23.9941006,8.5847101,2.7949800,,,,,,
54,d35, ,57.5199013,36.1982994,1.5890200,,,,,,
55,d12, ,40.1501007,48.3171005,0.8309690,,,,,,
56,d47, ,60.0595016,61.0457993,0.9838440,,,,,,
57,hk1, ,102.6409988,171.6560059,0.5979450,,,,,,
58,d1, ,308.7179871,971.1690063,0.3178830,25,0,59,3,535.742072105407710,58
59,g23, ,21.3992996,12.5377998,1.7067800,,,,,,
60,g43, ,37.9169006,42.5167007,0.8918110,,,,,,
61,f37, ,78.0318985,112.8970032,0.6911750,26,0,62,1,186.408996582031250,61
62,g35, ,252.5160065,312.4360046,0.8082170,27,0,63,1,1274.260009765625000,62
