OBJECTID,subcol,id2014,sqm2014,area,perim,pa_ratio,DrainID,BatchDone,Shape_Length,Shape_Area
2,b26-27-28,2,2160.436193220000000,2160.4399414,642.0789795,0.2971980,0,-1,642.078182281473350,2160.433015102141800
6, ,6,1.294034851900000,1.2940300,5.7983999,4.4808898,0,-1,5.798384823362841,1.294029673070723
8, ,8,3.549906285490000,3.5499101,9.5600901,2.6930499,0,-1,9.560006419453721,3.549795247588451
9, ,9,6.278238356540000,6.2782402,12.1464005,1.9346800,0,-1,12.146383309829824,6.278208483208180
10, ,10,372.421149748000000,372.4209900,193.8280029,0.5204540,0,-1,193.827510432693060,372.421510158180870
11, ,11,23.561105013399999,23.5611000,32.8474007,1.3941400,0,-1,32.847228701590325,23.561008366251404
12, ,12,172.761252189000000,172.7610016,93.3350983,0.5402560,0,-1,93.335196603202334,172.761434550558620
13, ,13,308.912804275999970,308.9129944,176.0670013,0.5699570,0,-1,176.067173190617350,308.912614905668420
14, ,14,76.390273784100003,76.3902969,47.2214012,0.6181600,0,-1,47.221756437561410,76.390095187687848
15, ,15,726.607694850000030,726.6079712,252.3470001,0.3472950,0,-1,252.347425036851210,726.607113650358430
16, ,16,496.169888389999980,496.1700134,224.1269989,0.4517140,0,-1,224.127195628583080,496.168747858127010
17, ,17,130.961565683999990,130.9620056,86.9393005,0.6638510,0,-1,86.939006183524910,130.961678530663110
18, ,18,87.295411500699998,87.2954025,47.1599007,0.5402330,0,-1,47.159794353968969,87.295338129905744
19, ,19,187.420457727000010,187.4199982,94.2779999,0.5030310,0,-1,94.277705579498218,187.420542176802680
20, ,20,2664.709063360000100,2664.7099609,1057.2099609,0.3967450,0,-1,1057.206396817767000,2664.709109228048900
21, ,21,6.446751250210000,6.4467502,17.7336998,2.7507999,0,-1,17.733872555765398,6.446642202225997
22, ,22,35.235509515399997,35.2355003,37.3050995,1.0587400,0,-1,37.305290998158789,35.235824391060241
23,n12-13,23,562.545996778000020,562.5460205,280.9760132,0.4994720,0,-1,280.976312984182130,562.545714141379340
26, ,26,14.467985920000000,14.4680004,23.9025002,1.6520900,0,-1,23.902369451686027,14.468014421190887
27, ,27,86.973213775000005,86.9731979,87.0136032,1.0004600,0,-1,87.013530400215529,86.973457100452748
28, ,28,36.229334314900001,36.2293015,53.9208984,1.4883200,0,-1,53.920488855952073,36.229379090256920
29,n14-15-16-18-22,29,1162.152835650000000,1162.1500244,620.7709961,0.5341570,0,-1,620.769940362388520,1162.152454495569100
30, ,30,33.747603327400000,33.7476006,37.3628998,1.1071301,0,-1,37.362820576383953,33.747737876784733
32, ,32,30.569617574599999,30.5695992,40.2145004,1.3155100,0,-1,40.214704232894547,30.569726815704517
33, ,33,139.345432348000000,139.3450012,91.7091980,0.6581450,0,-1,91.709112991161106,139.344480388467190
34, ,34,6.955211031570000,6.9552102,14.2809000,2.0532701,0,-1,14.280966322098530,6.955200862785272
35, ,35,252.449877687000000,252.4499969,114.6529999,0.4541610,0,-1,114.652902575050110,252.449392093560220
36, ,36,180.715883409000010,180.7160034,161.7700043,0.8951610,0,-1,161.769889489679400,180.716188010704090
37, ,37,6.329761762010000,6.3297601,13.8037996,2.1807799,0,-1,13.803786871416602,6.329687045589380
38, ,38,6.956331131640000,6.9563298,17.8313999,2.5633299,0,-1,17.831067504485173,6.956395362335587
39, ,39,17.111929356299999,17.1119003,20.7989006,1.2154599,0,-1,20.798836244957094,17.111837115704439
41, ,41,6.874628711120000,6.8746300,16.8787994,2.4552300,0,-1,16.878895900261600,6.874604480300972
42, ,42,101.286534864000000,101.2870026,67.3729019,0.6651680,0,-1,67.373038610566908,101.286309005103700
43, ,43,2.994181614520000,2.9941800,9.1426497,3.0534699,0,-1,9.142646735451198,2.994221150658402
44, ,44,18.543719904400000,18.5436993,19.6327000,1.0587300,0,-1,19.632856421240984,18.543702870200185
45, ,45,12.913896805000000,12.9139004,15.9066000,1.2317400,0,-1,15.906720209649205,12.914224238628798
46, ,46,5.328612803030000,5.3286099,12.2858000,2.3056300,0,-1,12.285585146444840,5.328583021153381
47, ,47,2.401868607290000,2.4018700,7.7403402,3.2226300,0,-1,7.740219393644019,2.401790703240561
48, ,48,51.136526982600003,51.1365013,46.0603981,0.9007340,0,-1,46.060464013432728,51.136348908304768
49, ,49,38.791464218800002,38.7915001,38.9637985,1.0044399,0,-1,38.963851143584336,38.791436768793993
50, ,50,183.938987943000000,183.9389954,110.8750000,0.6027810,0,-1,110.875085895119640,183.938991301763740
51, ,51,254.247325286000010,254.2469940,133.7640076,0.5261180,0,-1,133.763509682133560,254.246142264271980
52, ,53,18.069310334200001,18.0692997,32.3678017,1.7913100,0,-1,32.367732780293835,18.069110414031886
53, ,54,86.399934220999995,86.3999023,62.5343018,0.7237770,0,-1,62.534448358666936,86.399119137431285
55, ,56,1.329975781520000,1.3299800,5.9661398,4.4858899,0,-1,5.966223003020484,1.329982096773060
57, ,58,3.168059084590000,3.1680601,7.7680302,2.4519801,0,-1,7.768033005792937,3.168142327341800
58, ,59,17.889330692900000,17.8892994,23.6805992,1.3237300,0,-1,23.680743960000502,17.889377979541248
59, ,60,15.261819834800001,15.2617998,19.5967999,1.2840400,0,-1,19.596745919798025,15.261907133264817
60, ,61,2.055918097830000,2.0559199,6.4791799,3.1514699,0,-1,6.479111300681070,2.055996226257259
61, ,62,38.765534522199999,38.7654991,31.8992996,0.8228790,0,-1,31.899284295997106,38.765398499767691
62, ,63,40.440045052999999,40.4399986,41.3880005,1.0234400,0,-1,41.388379598340343,40.440242435320876
