Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,SUBCOLID
,0,0,85,5.624601407324122,1,0
,0,1,86,60.189049081760636,1,1
,0,2,82,21.424455728861975,1,2
,0,3,82,0.000000000000000,1,3
,0,4,82,24.549269015333532,1,4
,0,5,81,88.870680598936133,1,5
,0,6,80,68.850776524289643,1,6
,0,8,66,31.211704056978764,1,8
,0,10,103,25.562514922913085,1,10
,0,23,103,69.393449901539199,1,23
,0,24,59,48.470588000547629,1,24
,0,25,59,54.598003249713805,1,25
,0,26,59,55.094004295413001,1,26
,0,27,59,49.114609081757813,1,27
,0,38,59,18.518165908499434,1,38
,0,41,57,33.392238594857467,1,41
,0,42,54,44.635515290202022,1,42
,0,43,59,80.209852848055533,1,43
,0,45,53,21.183255659688712,1,45
,0,47,40,70.821974895492033,1,47
,0,48,34,99.562135720881813,1,48
,0,49,34,34.321325212783016,1,49
,0,51,22,42.154477792192587,1,51
,0,52,101,25.817568593108621,1,52
,0,53,100,29.745848624385044,1,53
,0,54,100,30.697513580769613,1,54
,0,55,101,32.906802705297281,1,55
,0,56,101,39.323577502296907,1,56
,0,58,4,8.548454710838813,1,58
,0,59,99,53.684786109123841,1,59
,0,60,99,55.521551456805717,1,60
,0,64,94,66.142126142773790,1,64
,0,66,94,61.029613388488777,1,66
,0,67,93,12.421557089862580,1,67
,0,69,24,69.211694066246523,1,69
,0,70,81,31.319233322029071,1,70
,0,71,34,8.032321448989880,1,71
,0,72,47,15.900686910236022,1,72
,0,75,99,42.124684975418461,1,75
,0,85,80,74.161092854008771,1,85
,0,86,80,5.454300237970908,1,86
,0,87,102,59.489118928058907,1,87
,0,89,66,60.607458922616019,1,89
,0,91,36,36.078032560085070,1,91
,0,93,16,47.742423736993175,1,93
,0,94,19,29.844257665954434,1,94
,0,95,19,29.844257666553155,1,95
,0,98,100,33.581590507911081,1,98
,0,99,100,29.745848624385044,1,99
,0,100,103,54.343911216330284,1,100
,0,101,80,19.049546823515495,1,101
,0,103,99,69.295580111789278,1,103
,0,104,102,93.083256827675015,1,104
,0,105,102,81.598909732225067,1,105
,0,106,101,51.664559146769619,1,106
,0,107,101,39.323577503746264,1,107
,0,108,57,45.009184880300218,1,108
,0,109,57,33.392238594823432,1,109
