"SrcID_Feat","mean_aspect"
0,247.608106841019
1,206.491743915299
2,215.027954102
3,218.905745795929
4,204.2784957885
5,353.475277456625
6,231.323878752856
7,266.907812703771
8,301.564978069384
9,282.154786407592
10,285.645100890015
11,79.0885079767824
12,68.4356990045178
13,47.5101146698
14,27.5064563751
16,23.7503789232371
17,27.1759519147515
18,26.221649334348
19,358.908252768297
23,11.22947406767
24,9.88661384583
25,0.214643279683549
26,264.638153076
28,164.680853473196
29,183.025192663542
