"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","flow_acc","flow_acc_log1p","flow_acc_log","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_windshelt100m","mean_windshelt300m","skua50"
"1b",3,0,"royds",0,NA,"1718",2,2.56301,10.2701998,4.00708532333,NA,0,0,-Inf,215.027954101562,49.1260833740234,-44.546875,1.453125,-0.019700000062585,-0.000300000014249,0
"1c",37,29,"royds",0.783783783783784,NA,"1415",1,19.8976994,33.6637001,1.69183886051,38.3874697398,5,1.79175946922805,1.6094379124341,206.491760253906,7.09435208638509,-38.828125,7.171875,-0.04839999973774,-0.011800000133614,0
"1c",48,22,"royds",0.458333333333333,NA,"1516",1,19.8976994,33.6637001,1.69183886051,38.3874697398,5,1.79175946922805,1.6094379124341,206.491760253906,7.09435208638509,-38.828125,7.171875,-0.04839999973774,-0.011800000133614,0
"1c",31,6,"royds",0.193548387096774,NA,"1617",1,19.8976994,33.6637001,1.69183886051,38.3874697398,5,1.79175946922805,1.6094379124341,206.491760253906,7.09435208638509,-38.828125,7.171875,-0.04839999973774,-0.011800000133614,0
"1c",29,18,"royds",0.620689655172414,NA,"1718",1,19.8976994,33.6637001,1.69183886051,38.3874697398,5,1.79175946922805,1.6094379124341,206.491760253906,7.09435208638509,-38.828125,7.171875,-0.04839999973774,-0.011800000133614,0
"2",93,102,"royds",1.09677419354839,NA,"1415",3,64.5832977,76.2911987,1.18128371239,0.515518327741,0.071428571428571,0.068992871486951,-2.63905732961526,218.902724129813,13.0747263090951,-41.7245396205357,4.27546037946428,-0.034378571568855,-0.006242857148339,0
"2",90,76,"royds",0.844444444444444,NA,"1516",3,64.5832977,76.2911987,1.18128371239,0.515518327741,0.071428571428571,0.068992871486951,-2.63905732961526,218.902724129813,13.0747263090951,-41.7245396205357,4.27546037946428,-0.034378571568855,-0.006242857148339,0
"2",73,27,"royds",0.36986301369863,NA,"1617",3,64.5832977,76.2911987,1.18128371239,0.515518327741,0.071428571428571,0.068992871486951,-2.63905732961526,218.902724129813,13.0747263090951,-41.7245396205357,4.27546037946428,-0.034378571568855,-0.006242857148339,0
"2",84,77,"royds",0.916666666666667,NA,"1718",3,64.5832977,76.2911987,1.18128371239,0.515518327741,0.071428571428571,0.068992871486951,-2.63905732961526,218.902724129813,13.0747263090951,-41.7245396205357,4.27546037946428,-0.034378571568855,-0.006242857148339,0
"20a",14,22,"royds",1.57142857142857,NA,"1415",24,6.58183,16.2957001,2.47586154938,NA,1,0.693147180559945,0,9.8866138458252,6.42629861831665,-42.6181640625,3.3818359375,0.330300003290176,0.330300003290176,1
"20a",20,14,"royds",0.7,NA,"1516",24,6.58183,16.2957001,2.47586154938,NA,1,0.693147180559945,0,9.8866138458252,6.42629861831665,-42.6181640625,3.3818359375,0.330300003290176,0.330300003290176,1
"20a",19,9,"royds",0.473684210526316,NA,"1617",24,6.58183,16.2957001,2.47586154938,NA,1,0.693147180559945,0,9.8866138458252,6.42629861831665,-42.6181640625,3.3818359375,0.330300003290176,0.330300003290176,1
"20a",13,15,"royds",1.15384615384615,NA,"1718",24,6.58183,16.2957001,2.47586154938,NA,1,0.693147180559945,0,9.8866138458252,6.42629861831665,-42.6181640625,3.3818359375,0.330300003290176,0.330300003290176,1
"20b",141,147,"royds",1.04255319148936,NA,"1415",25,126.6299973,117.0569992,0.924401819706,NA,0,0,-Inf,174.408334960861,21.9263327198644,-36.4549521169355,9.54504788306452,0.417851614375268,0.417851614375268,0
"20b",157,110,"royds",0.700636942675159,NA,"1516",25,126.6299973,117.0569992,0.924401819706,NA,0,0,-Inf,174.408334960861,21.9263327198644,-36.4549521169355,9.54504788306452,0.417851614375268,0.417851614375268,0
"20b",153,31,"royds",0.202614379084967,NA,"1617",25,126.6299973,117.0569992,0.924401819706,NA,0,0,-Inf,174.408334960861,21.9263327198644,-36.4549521169355,9.54504788306452,0.417851614375268,0.417851614375268,0
"20b",162,116,"royds",0.716049382716049,NA,"1718",25,126.6299973,117.0569992,0.924401819706,NA,0,0,-Inf,174.408334960861,21.9263327198644,-36.4549521169355,9.54504788306452,0.417851614375268,0.417851614375268,0
"21",263,312,"royds",1.18631178707224,NA,"1415",10,248.3410034,145.6990051,0.586689293385,NA,0,0,-Inf,272.858352055625,11.9296396611229,-39.6124441964286,6.38755580357143,0.090684127103212,0.092509523961723,1
"21",326,251,"royds",0.769938650306748,NA,"1516",10,248.3410034,145.6990051,0.586689293385,NA,0,0,-Inf,272.858352055625,11.9296396611229,-39.6124441964286,6.38755580357143,0.090684127103212,0.092509523961723,1
"21",277,161,"royds",0.581227436823105,NA,"1617",10,248.3410034,145.6990051,0.586689293385,NA,0,0,-Inf,272.858352055625,11.9296396611229,-39.6124441964286,6.38755580357143,0.090684127103212,0.092509523961723,1
"21",398,373,"royds",0.937185929648241,NA,"1718",10,248.3410034,145.6990051,0.586689293385,NA,0,0,-Inf,272.858352055625,11.9296396611229,-39.6124441964286,6.38755580357143,0.090684127103212,0.092509523961723,1
"23",44,59,"royds",1.34090909090909,NA,"1415",9,29.8241997,30.1858006,1.01212441921,NA,0,0,-Inf,282.154105050223,7.60313102177211,-37.3069196428571,8.69308035714285,0.073157141783408,0.073157141783408,1
"23",57,47,"royds",0.824561403508772,NA,"1516",9,29.8241997,30.1858006,1.01212441921,NA,0,0,-Inf,282.154105050223,7.60313102177211,-37.3069196428571,8.69308035714285,0.073157141783408,0.073157141783408,1
"23",43,27,"royds",0.627906976744186,NA,"1617",9,29.8241997,30.1858006,1.01212441921,NA,0,0,-Inf,282.154105050223,7.60313102177211,-37.3069196428571,8.69308035714285,0.073157141783408,0.073157141783408,1
"23",43,40,"royds",0.930232558139535,NA,"1718",9,29.8241997,30.1858006,1.01212441921,NA,0,0,-Inf,282.154105050223,7.60313102177211,-37.3069196428571,8.69308035714285,0.073157141783408,0.073157141783408,1
"3a",53,54,"royds",1.0188679245283,NA,"1415",28,28.1699009,31.2171993,1.10817563534,NA,0,0,-Inf,164.678044637044,9.46956753730774,-40.74609375,5.25390625,-0.03565000059704,-0.008199999962623,1
"3a",50,36,"royds",0.72,NA,"1516",28,28.1699009,31.2171993,1.10817563534,NA,0,0,-Inf,164.678044637044,9.46956753730774,-40.74609375,5.25390625,-0.03565000059704,-0.008199999962623,1
"3a",45,17,"royds",0.377777777777778,NA,"1617",28,28.1699009,31.2171993,1.10817563534,NA,0,0,-Inf,164.678044637044,9.46956753730774,-40.74609375,5.25390625,-0.03565000059704,-0.008199999962623,1
"3a",38,34,"royds",0.894736842105263,NA,"1718",28,28.1699009,31.2171993,1.10817563534,NA,0,0,-Inf,164.678044637044,9.46956753730774,-40.74609375,5.25390625,-0.03565000059704,-0.008199999962623,1
"3b",14,7,"royds",0.5,NA,"1415",29,10.0468998,15.2988997,1.5227483511,NA,0,0,-Inf,183.025751749674,12.6633297602336,-43.5358072916667,2.46419270833334,0.030166666954756,0.030166666954756,1
"3b",8,1,"royds",0.125,NA,"1516",29,10.0468998,15.2988997,1.5227483511,NA,0,0,-Inf,183.025751749674,12.6633297602336,-43.5358072916667,2.46419270833334,0.030166666954756,0.030166666954756,1
"3b",5,0,"royds",0,NA,"1617",29,10.0468998,15.2988997,1.5227483511,NA,0,0,-Inf,183.025751749674,12.6633297602336,-43.5358072916667,2.46419270833334,0.030166666954756,0.030166666954756,1
"3b",0,NA,"royds",NA,NA,"1718",29,10.0468998,15.2988997,1.5227483511,NA,0,0,-Inf,183.025751749674,12.6633297602336,-43.5358072916667,2.46419270833334,0.030166666954756,0.030166666954756,1
"3c",15,12,"royds",0.8,NA,"1415",4,8.7243099,19.9034996,2.28138375282,NA,0,0,-Inf,204.278495788574,18.8792457580566,-45.64990234375,0.35009765625,-0.005200000130571,0.0021499999566,0
"3c",13,13,"royds",1,NA,"1516",4,8.7243099,19.9034996,2.28138375282,NA,0,0,-Inf,204.278495788574,18.8792457580566,-45.64990234375,0.35009765625,-0.005200000130571,0.0021499999566,0
