"SRCID_FEAT","mean_aspect"
0,17.0176002923332
1,8.16281305612909
2,61.732571288434
3,40.2229279250819
4,5.14718582519001
5,41.2855161863377
6,79.4285598980605
7,70.1528531633006
8,100.817273586684
9,68.5219727049027
10,46.7795150296436
11,73.5212323223535
12,68.0107204975379
13,64.0991097383877
14,68.6911978889746
15,70.1419850356429
16,37.2658996582031
17,68.8586883544922
18,58.4821363980964
19,83.7393203556161
20,73.5786187636386
21,59.3819795117944
22,44.5015303024734
23,73.6680067712083
24,63.9940581722277
25,59.6006728362079
26,52.9513396820067
27,49.9185258679829
28,54.785375031894
29,79.5233446844896
30,79.8651937863835
31,124.464902909469
32,29.0996925740287
33,48.8658768971662
34,38.7218553834851
35,80.9369064235947
36,50.8359910336213
37,64.8550154902378
38,53.4028493075349
39,35.7505523797981
40,37.8259211322115
41,55.6938279974352
42,61.5151206899761
43,39.720952575107
44,36.1986758172022
45,61.2687666818596
46,30.8412016102444
47,81.3664020878935
48,119.844020923913
49,107.930919522988
50,139.033725176883
51,49.685291557668
52,22.2784281447447
53,345.734891622388
54,40.6558582267183
55,42.9825007864265
56,52.2626571404193
57,68.5004266459154
58,23.5603199696903
60,332.87383745106
61,45.3958518435908
62,47.8274924953153
63,58.3349641671203
64,32.9237872916024
65,66.1437337697764
66,64.7067025951962
67,14.9621402691388
68,5.56840655558852
69,34.6438540924668
70,25.4903260265102
71,107.706613860067
72,56.1868010044529
73,13.6572988685779
74,34.5006370544434
75,73.1837094875959
76,52.7378183926403
77,70.1631888872141
78,62.7934474122836
79,51.8114753689485
80,52.2923568846268
81,68.1599517754484
82,48.2078485609251
83,110.509013390298
84,12.6076515229386
85,68.6622207975485
86,41.8967260505879
87,75.4487034837754
88,36.8403644788894
89,88.7199870742355
90,36.54443359375
91,114.448333740234
93,25.0533702555929
94,47.0089125691782
100,64.6667016128492
101,42.3024259190595
102,49.3721576504024
103,96.6960707350166
104,65.2894496917724
105,102.411845391546
106,43.7491312509303
108,60.0962807833617
