FID,Nest,Lat,Lon,Field4
0,1,-77.552733000000003,166.159932999999995, 
1,2,-77.553282999999993,166.162967000000009, 
2,3,-77.553583000000003,166.162833000000006, 
3,4,-77.554483000000005,166.161799999999999, 
4,5,-77.555317000000002,166.165649999999999,these three within ~10m of this location
5,6,-77.554083000000006,166.165649999999999,these three within ~10m of this location
6,7,-77.554083000000006,166.165649999999999,these three within ~10m of this location
7,8,-77.554083000000006,166.166416999999996, 
8,9,-77.553816999999995,166.166850000000011, 
9,10,-77.554117000000005,166.168666999999999, 
10,11,-77.553349999999995,166.166449999999998, 
11,0,0.000000000000000,0.000000000000000, 
