Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN,MEAN_ASPECT
,wb,1,18,72.000000000000000,0.292340410252412,17.017600542031289
,b26,2,318,1272.000000000000000,0.141181939784525,8.162814502598337
,b25,3,4,16.000000000000000,0.880478918552399,61.732573047710730
,b24,4,51,204.000000000000000,0.636414696772893,40.222929097781048
,b23,5,229,916.000000000000000,0.080044401563525,5.147189790959601
,b12,6,38,152.000000000000000,0.634347547826014,41.285518341451677
,n10,7,19,76.000000000000000,0.979702249953621,79.428561465421694
,n28,8,5,20.000000000000000,0.923875260353088,70.152855470745578
,c58,9,59,236.000000000000000,0.759492044479160,100.817276668430566
,m27,10,11,44.000000000000000,0.924628582867709,68.521975422380592
,c46,11,16,64.000000000000000,0.728286806493998,46.779516380390305
,c6,12,22,88.000000000000000,0.954738443548029,73.521234841117518
,m28,13,20,80.000000000000000,0.926993411779404,68.010721674303795
,m29,14,12,48.000000000000000,0.898683632413546,64.099111772604886
,m25,15,9,36.000000000000000,0.931350681516859,68.691200690463063
,m23a,16,5,20.000000000000000,0.938693881034851,70.141986186989584
,m11,17,1,4.000000000000000,0.605514883995056,37.265900815802581
,m22a,18,2,8.000000000000000,0.932612836360931,68.858691810177277
,m23,19,46,184.000000000000000,0.845079589149226,58.482137805848538
,m24,20,4,16.000000000000000,0.993027970194817,83.739322722503402
,m21,21,28,112.000000000000000,0.956155559846333,73.578621921082799
,m16-22,22,27,108.000000000000000,0.855210235825291,59.381981182197251
,m12,23,41,164.000000000000000,0.697649952841968,44.501531667173992
,c51,24,18,72.000000000000000,0.954007102383508,73.668008480299932
,c38,25,13,52.000000000000000,0.898630917072296,63.994059649000349
,c24,26,28,112.000000000000000,0.858813630683081,59.600674125077546
,c37,27,13,52.000000000000000,0.798002325571500,52.951341237365682
,p55,28,8,32.000000000000000,0.765085443854332,49.918527538786861
,m33-34-35,29,229,916.000000000000000,0.813899165157668,54.785376774909139
,m6a,30,17,68.000000000000000,0.978702769559972,79.523346102001597
,m5,31,38,152.000000000000000,0.966047737159227,79.865196127460024
,m4,32,21,84.000000000000000,0.765089104218142,124.464905043067290
,m1a,33,13,52.000000000000000,0.484802280481045,29.099693175441757
,m14,34,6,24.000000000000000,0.753049155076345,48.865877522178266
,m14a,35,25,100.000000000000000,0.623977842330933,38.721856299396620
,m38,36,46,184.000000000000000,0.975890353969906,80.936909390613778
,m36,37,13,52.000000000000000,0.772914781020238,50.835993200100916
,mis,38,34,136.000000000000000,0.647241787437130,64.855018422962019
,p63,39,29,116.000000000000000,0.798940874379257,53.402851542888186
,p42,40,36,144.000000000000000,0.584173323379623,35.750553331119249
,p44,41,53,212.000000000000000,0.612581005636251,37.825922275957964
,p22,42,9,36.000000000000000,0.825817128022512,55.693829182188097
,p24,43,38,152.000000000000000,0.877944097707146,61.515122699897290
,p33,44,18,72.000000000000000,0.638828078905741,39.720953974704059
,p39,45,12,48.000000000000000,0.590308497349421,36.198677005358263
,p21,46,24,96.000000000000000,0.875765370825926,61.268768088614024
,qr132,47,15,60.000000000000000,0.512462164958318,30.841202228124985
,qr20,48,40,160.000000000000000,0.988395413756371,81.366404320554011
,s39,49,10,40.000000000000000,0.855020004510880,119.844023401322602
,s5,50,10,40.000000000000000,0.951410496234894,107.930921831368096
,qr65,51,30,120.000000000000000,0.459766650075714,139.033730798667079
,d22,52,10,40.000000000000000,0.761311644315720,49.685293595402186
,d16,53,10,40.000000000000000,0.378167322278023,22.278428839182538
,d9-11,54,3,12.000000000000000,-0.245360702276230,345.734887955700231
,d35,55,9,36.000000000000000,0.648764087094201,40.655859722849982
,d12,56,13,52.000000000000000,0.681598502856035,42.982501976850699
,d47,57,16,64.000000000000000,0.790513996034861,52.262659296254753
,hk1,58,40,160.000000000000000,0.929300111532211,68.500428836745471
,d1,59,236,944.000000000000000,0.393782161697114,23.560320582660381
,g58,60,2,8.000000000000000,-0.805405914783478,306.333151478097989
,g23,61,4,16.000000000000000,-0.452763192355633,332.873854109916465
,g43,62,10,40.000000000000000,0.711327522993088,45.395853848152228
,f37,63,26,104.000000000000000,0.740728440193030,47.827494159043113
,g35,64,71,284.000000000000000,0.843234525599950,58.334965520490300
,f23,65,10,40.000000000000000,0.543160998821259,32.923788103498168
,g32,66,10,40.000000000000000,0.914415055513382,66.143735892593497
,f5,67,41,164.000000000000000,0.902394168260621,64.706704560299158
