Rowid_,FID,SUBCOLID,FREQUENCY,SUM_AREA
,0,0,1,13.896200180053711
,0,1,1,3186.270019531250000
,0,2,1,2790.610107421875000
,0,3,3,22476.451904296875000
,0,4,1,3674.270019531250000
,0,5,1,418.555999755859370
,0,9,1,10.546299934387207
,0,10,3,533.487686157226560
,0,12,2,308.916397094726560
,0,13,5,1261.867732405662500
,0,18,3,451.959613800048830
,0,22,8,468.631291866302490
,0,23,3,42.483088731765747
,0,24,4,1032.629938602447500
,0,25,8,886.554941177368160
,0,26,1,69.798202514648437
,0,27,1,55.718299865722656
,0,28,4,1442.863790512085000
,0,37,4,8974.172878265380900
,0,38,1,263.700012207031250
,0,40,6,10589.039867401123000
,0,42,2,98.038497924804687
,0,43,3,162.355160430073740
,0,45,1,1.530609965324402
,0,58,3,525.473143577575680
,0,60,1,191.279998779296870
,0,61,1,1276.670043945312500
,0,62,4,653.955510616302490
,0,63,1,4.107409954071045
,0,64,3,82.640123844146729
,0,66,2,3127.800670623779300
,0,67,1,0.077082902193069
,0,69,1,744.697998046875000
,0,70,4,347.523097038269040
,0,71,6,2522.503626823425300
,0,73,1,106.672996520996090
,0,78,1,91.126998901367188
,0,79,1,4.746540069580078
,0,81,7,77.930969834327698
,0,83,5,2526.609788894653300
,0,85,1,53.728599548339844
,0,86,3,1591.384002685546900
,0,88,3,6.314879894256592
,0,92,10,112802.756171584130000
,0,93,3,229.414802551269530
,0,95,2,152.644197463989260
,0,98,1,79.190597534179688
,0,99,4,12639.175014972687000
