Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,wb,1,18,72.000000000000000,-17.306640625000000,-15.356445312500000,1.950195312500000,-16.184082031250000,0.514587720473889,-291.313476562500000
,b26,2,318,1272.000000000000000,-35.046875000000000,-23.369140625000000,11.677734375000000,-29.390284124410378,3.029751782301567,-9346.110351562500000
,b25,3,4,16.000000000000000,-43.956279754638672,-43.642295837402344,0.313983917236328,-43.803844451904297,0.111482213716667,-175.215377807617190
,b24,4,51,204.000000000000000,-45.456863403320313,-44.666484832763672,0.790378570556641,-44.966421688304230,0.179708624126129,-2293.287506103515600
,b23,5,229,916.000000000000000,-43.731533050537109,-37.212059020996094,6.519474029541016,-40.132751698056680,1.334722909543249,-9190.400138854980500
,b12,6,38,152.000000000000000,-33.181831359863281,-31.242694854736328,1.939136505126953,-32.035914270501387,0.519696777337133,-1217.364742279052700
,n10,7,19,76.000000000000000,14.223632812500000,18.518554687500000,4.294921875000000,16.035053453947370,1.079347798152873,304.666015625000000
,n28,8,5,20.000000000000000,22.743164062500000,23.900390625000000,1.157226562500000,23.238085937499999,0.437558589826878,116.190429687500000
,c58,9,59,236.000000000000000,54.650390625000000,59.422851562500000,4.772460937500000,57.378840042372879,1.113679642125137,3385.351562500000000
,m27,10,11,44.000000000000000,-11.203125000000000,-9.535156250000000,1.667968750000000,-10.322975852272727,0.493254342917331,-113.552734375000000
,c46,11,16,64.000000000000000,36.796875000000000,38.822265625000000,2.025390625000000,37.687805175781250,0.605792122286526,603.004882812500000
,c6,12,22,88.000000000000000,7.004882812500000,11.039062500000000,4.034179687500000,9.241255326704545,0.971451534879155,203.307617187500000
,m28,13,20,80.000000000000000,-10.146484375000000,-7.179687500000000,2.966796875000000,-8.616845703125000,0.899049939600531,-172.336914062500000
,m29,14,12,48.000000000000000,-9.833007812500000,-7.334960937500000,2.498046875000000,-8.529052734375000,0.776981352351985,-102.348632812500000
,m25,15,9,36.000000000000000,-19.708007812500000,-18.933593750000000,0.774414062500000,-19.317057291666668,0.246409595321387,-173.853515625000000
,m23a,16,5,20.000000000000000,-18.528320312500000,-17.768554687500000,0.759765625000000,-18.175000000000001,0.285597635707082,-90.875000000000000
,m11,17,1,4.000000000000000,-21.252929687500000,-21.252929687500000,0.000000000000000,-21.252929687500000,0.000000000000000,-21.252929687500000
,m22a,18,2,8.000000000000000,-21.561523437500000,-21.400390625000000,0.161132812500000,-21.480957031250000,0.080566406250000,-42.961914062500000
,m23,19,46,184.000000000000000,-21.333984375000000,-19.491210937500000,1.842773437500000,-20.364491338315219,0.382357698524279,-936.766601562500000
,m24,20,4,16.000000000000000,-19.056640625000000,-18.608398437500000,0.448242187500000,-18.812255859375000,0.190406367512424,-75.249023437500000
,m21,21,28,112.000000000000000,-21.936523437500000,-20.208007812500000,1.728515625000000,-21.109898158482142,0.466751742711770,-591.077148437500000
,m16-22,22,27,108.000000000000000,-24.086914062500000,-22.463867187500000,1.623046875000000,-23.241210937500000,0.462706462305370,-627.512695312500000
,m12,23,41,164.000000000000000,-24.398437500000000,-22.830078125000000,1.568359375000000,-23.792921112804876,0.364917013598712,-975.509765625000000
,c51,24,18,72.000000000000000,40.493164062500000,42.682617187500000,2.189453125000000,41.749565972222221,0.665015099896846,751.492187500000000
,c38,25,13,52.000000000000000,21.833007812500000,24.245117187500000,2.412109375000000,22.866060697115383,0.629489542806173,297.258789062500000
,c24,26,28,112.000000000000000,16.659179687500000,19.436523437500000,2.777343750000000,18.263881138392858,0.712068737806364,511.388671875000000
,c37,27,13,52.000000000000000,16.608398437500000,18.379882812500000,1.771484375000000,17.395132211538460,0.528171028345120,226.136718750000000
,p55,28,8,32.000000000000000,19.382812500000000,20.470703125000000,1.087890625000000,19.993652343750000,0.343473843707254,159.949218750000000
,m33-34-35,29,229,916.000000000000000,-9.712890625000000,0.646484375000000,10.359375000000000,-4.703542917576419,2.285529165321814,-1077.111328125000000
,m6a,30,17,68.000000000000000,-21.844726562500000,-20.162109375000000,1.682617187500000,-21.039751838235293,0.485225475441041,-357.675781250000000
,m5,31,38,152.000000000000000,-21.879882812500000,-20.634765625000000,1.245117187500000,-21.321443256578949,0.343941121704994,-810.214843750000000
,m4,32,21,84.000000000000000,-24.567382812500000,-22.640625000000000,1.926757812500000,-23.242327008928573,0.540020880263018,-488.088867187500000
,m1a,33,13,52.000000000000000,-31.679779052734375,-28.707031250000000,2.972747802734375,-30.188138961791992,0.980850781824465,-392.445806503295900
,m14,34,6,24.000000000000000,-26.451171875000000,-25.611328125000000,0.839843750000000,-26.065917968750000,0.279052485179150,-156.395507812500000
,m14a,35,25,100.000000000000000,-28.094726562500000,-25.874023437500000,2.220703125000000,-26.925585937499999,0.679606002657169,-673.139648437500000
,m38,36,46,184.000000000000000,-37.407203674316406,-33.223480224609375,4.183723449707031,-34.987836340199344,1.130697873573828,-1609.440471649169900
,m36,37,13,52.000000000000000,-38.132812500000000,-36.897708892822266,1.235103607177734,-37.531742095947266,0.346648914383925,-487.912647247314450
,mis,38,34,136.000000000000000,-35.069335937500000,-33.878906250000000,1.190429687500000,-34.443847656250000,0.332528725673501,-1171.090820312500000
,p63,39,29,116.000000000000000,33.162109375000000,37.840820312500000,4.678710937500000,35.590618265086206,1.098843726141991,1032.127929687500000
,p42,40,36,144.000000000000000,25.743164062500000,31.065429687500000,5.322265625000000,28.247016059027779,1.336262762011429,1016.892578125000000
,p44,41,53,212.000000000000000,8.375000000000000,14.925781250000000,6.550781250000000,11.262529481132075,1.881111537112086,596.914062500000000
,p22,42,9,36.000000000000000,61.432617187500000,62.681640625000000,1.249023437500000,62.120985243055557,0.390185420102790,559.088867187500000
,p24,43,38,152.000000000000000,63.223632812500000,68.263671875000000,5.040039062500000,65.784847861842110,1.342242533077601,2499.824218750000000
,p33,44,18,72.000000000000000,45.825195312500000,47.976562500000000,2.151367187500000,46.654730902777779,0.568615317528583,839.785156250000000
,p39,45,12,48.000000000000000,41.483398437500000,42.767578125000000,1.284179687500000,42.064290364583336,0.389847825784126,504.771484375000000
,p21,46,24,96.000000000000000,74.508789062500000,78.508789062500000,4.000000000000000,76.806844075520829,1.034140763327430,1843.364257812500000
,qr132,47,15,60.000000000000000,19.537109375000000,21.056640625000000,1.519531250000000,20.242903645833334,0.445949874334371,303.643554687500000
,qr20,48,40,160.000000000000000,73.186523437500000,76.043945312500000,2.857421875000000,74.373901367187500,0.663116470105880,2974.956054687500000
,s39,49,10,40.000000000000000,46.299804687500000,47.949218750000000,1.649414062500000,47.117285156249999,0.476302769658696,471.172851562500000
,s5,50,10,40.000000000000000,65.794921875000000,66.937500000000000,1.142578125000000,66.362890625000006,0.397482339717882,663.628906250000000
,qr65,51,30,120.000000000000000,44.109375000000000,48.203125000000000,4.093750000000000,46.258626302083336,1.197485426528907,1387.758789062500000
,d22,52,10,40.000000000000000,73.000976562500000,74.484375000000000,1.483398437500000,74.019140625000006,0.431745382861214,740.191406250000000
,d16,53,10,40.000000000000000,79.125000000000000,80.087890625000000,0.962890625000000,79.602636718750006,0.319343836507855,796.026367187500000
,d9-11,54,3,12.000000000000000,92.127929687500000,93.030273437500000,0.902343750000000,92.649414062500000,0.381564851420887,277.948242187500000
,d35,55,9,36.000000000000000,86.625000000000000,89.363281250000000,2.738281250000000,88.174153645833329,0.799139922128429,793.567382812500000
,d12,56,13,52.000000000000000,83.075195312500000,85.408203125000000,2.333007812500000,84.267352764423080,0.698578167494719,1095.475585937500000
,d47,57,16,64.000000000000000,68.321289062500000,69.998046875000000,1.676757812500000,69.192565917968750,0.471526407329329,1107.081054687500000
,hk1,58,40,160.000000000000000,-38.595947265625000,-31.724447250366211,6.871500015258789,-34.774715375900271,1.538684084886302,-1390.988615036010700
,d1,59,236,944.000000000000000,93.010742187500000,100.868164062500000,7.857421875000000,97.445283534163138,1.491310693806894,22997.086914062500000
,g23,60,4,16.000000000000000,-13.529296875000000,-13.123046875000000,0.406250000000000,-13.302490234375000,0.180072372245337,-53.209960937500000
,g43,61,10,40.000000000000000,2.479492187500000,3.817382812500000,1.337890625000000,3.240429687500000,0.398434819231179,32.404296875000000
,f37,62,26,104.000000000000000,-0.044921875000000,2.636718750000000,2.681640625000000,1.360764723557692,0.706250833731688,35.379882812500000
,g35,63,71,284.000000000000000,-10.343750000000000,-0.537109375000000,9.806640625000000,-5.644998899647887,2.786587352165733,-400.794921875000000
,f23,64,10,40.000000000000000,-12.897460937500000,-11.925781250000000,0.971679687500000,-12.453808593750001,0.302876116641526,-124.538085937500000
,g32,65,10,40.000000000000000,-8.875976562500000,-7.695312500000000,1.180664062500000,-8.163281250000001,0.327152751837210,-81.632812500000000
,f5,66,41,164.000000000000000,-40.957836151123047,-36.169921875000000,4.787914276123047,-38.629032135009766,1.286794292790092,-1583.790317535400400
,fbeach,67,136,544.000000000000000,-47.964782714843750,-44.428001403808594,3.536781311035156,-45.832127374761242,0.769462358116948,-6233.169322967529300
,g2,68,23,92.000000000000000,-34.333007812500000,-31.993164062500000,2.339843750000000,-33.144361413043477,0.638922857962014,-762.320312500000000
