OID_,royd_subco,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1a,1,18,72.000000000000000,10.327494621300000,38.242122650100001,27.914628028900001,16.838924249000002,6.603241610260000,303.100636482000030
,1c,2,3,12.000000000000000,6.417435646060000,7.637662887570000,1.220227241520000,7.094352086390000,0.507034831376000,21.283056259199999
,1b,3,1,4.000000000000000,49.126083373999997,49.126083373999997,0.000000000000000,49.126083373999997,0.000000000000000,49.126083373999997
,2,4,14,56.000000000000000,8.607555389400000,17.368431091300000,8.760875701900000,13.074726309100001,3.463586232010000,183.046168327000000
,3c,5,2,8.000000000000000,18.800300598100002,18.958190918000000,0.157890319824000,18.879245758100001,0.078945159912100,37.758491516100001
,4,6,4,16.000000000000000,9.397718429570000,13.376611709600001,3.978893280030000,11.155971050300000,1.465180107610000,44.623884201000003
,14a-b,7,4,16.000000000000000,1.630291223530000,4.361934661870000,2.731643438340000,2.694048941140000,1.013085852700000,10.776195764500001
,5,8,10,40.000000000000000,3.963271617890000,21.470088958700000,17.506817340900000,11.562810659400000,5.661581812340000,115.628106594000000
,6,9,28,112.000000000000000,4.095382213590000,10.150295257600000,6.054913043980000,8.298587305210001,1.680860508130000,232.360444546000000
,23,10,7,28.000000000000000,7.171946525570000,8.307925224300000,1.135978698730000,7.603131021770000,0.372014549405000,53.221917152400003
,21,11,63,252.000000000000000,2.147837400440000,22.706270217899998,20.558432817500002,11.929639661100000,4.111250295150000,751.567298650999990
,9s,12,6,24.000000000000000,1.076750993730000,7.899579048160000,6.822828054430000,4.229907691480000,2.482772949060000,25.379446148900001
,9n,13,13,52.000000000000000,10.336525917099999,11.877045631400000,1.540519714360000,11.020740655799999,0.411245279330000,143.269628525000000
,10n,14,2,8.000000000000000,6.017518997190000,6.232289791110000,0.214770793915000,6.124904394150000,0.107385396957000,12.249808788299999
, ,15,4,16.000000000000000,3.988463878630000,11.687817573500000,7.699353694920000,8.870500445370000,3.098173643510000,35.482001781500003
,19,16,7,28.000000000000000,4.803270339970000,8.533190727230000,3.729920387270000,6.749655314850000,1.161296256700000,47.247587203999998
,wb2,17,6,24.000000000000000,5.677137851720000,8.222992897030000,2.545855045320000,6.745549440380000,0.820635443241000,40.473296642299999
,10s,18,35,140.000000000000000,13.738193512000000,18.872676849400001,5.134483337400000,16.549127197299999,1.164504924660000,579.219451904000040
,11-12,19,150,600.000000000000000,0.100140370429000,12.835553169300001,12.735412798800001,4.790773679270000,2.908603421940000,718.616051889999990
,20a,20,1,4.000000000000000,6.426298618320000,6.426298618320000,0.000000000000000,6.426298618320000,0.000000000000000,6.426298618320000
,20b,21,31,124.000000000000000,16.339939117400000,26.186246871900000,9.846307754520000,21.926332719900000,2.212012747010000,679.716314315999970
,3a,22,6,24.000000000000000,6.764543533330000,12.215098381000001,5.450554847720000,9.469567537310001,1.821673880780000,56.817405223800002
,3b,23,3,12.000000000000000,12.499102592500000,12.940455436700001,0.441352844238000,12.663329760200000,0.197074669826000,37.989989280700001
