"","X.1","X","Bandnumb","Orig_col","Br_col","Season","Breeder","Result","Success","Area","Type","Sex","Cohort","Age","Br_exp","Device","Notes","Hatching.date","fitval","diff_success","BQI","BQI_A","season_yr","season","lat","lon"
"1",1,1,517,"ROYD","CROZ",2002,0,"NB",0,"FBCH","KA","U",1996,6,0,"","",NA,0.102596987580939,-0.102596987580939,NA,-0.102596987580939,2002,"0203",-77.45748,169.25775
"2",2,2,1427,"ROYD","CROZ",2005,0,"NB",0,"N","KA","U",1997,8,0,"","Seen breeding on Beaufort in 2008",NA,0.183818800172292,-0.183818800172292,NA,-0.183818800172292,2005,"0506",-77.451452,169.224644
"3",3,3,1593,"ROYD","CROZ",2002,1,"FAIL",0,"B","KA","U",1998,4,0,"","Only bred once at Crozier then seen at Royds and Bird",NA,0.0517304623188865,-0.0517304623188865,NA,-0.0517304623188865,2002,"0203",-77.4486,169.22059
"4",4,4,1801,"ROYD","CROZ",2006,1,"CR1",1,"QR","KA","U",1998,8,0,"","",NA,0.346560892613871,0.653439107386129,NA,0.653439107386129,2006,"0607",-77.45643,169.225878
"5",5,5,1801,"ROYD","CROZ",2007,1,"CR2?",1,"QR","KA","U",1998,9,1,"","",NA,0.602328592686366,0.397671407313634,0.653439107386129,0.525555257349882,2007,"0708",-77.45656,169.22589
"6",6,6,2069,"ROYD","CROZ",2003,0,"NB",0,"B","KA","M",1999,4,0,"","",NA,0.0124858343109613,-0.0124858343109613,NA,-0.0124858343109613,2003,"0304",-77.44927,169.21992
"7",7,7,2069,"ROYD","CROZ",2004,0,"NB",0,"HK","KA","M",1999,5,0,"","",NA,0.0741530965884092,-0.0741530965884092,-0.0124858343109613,-0.0433194654496852,2004,"0405",-77.456047,169.248108
"8",9,9,2160,"ROYD","CROZ",2006,0,"NB",0,"B","KA","M",1999,7,0,"","Seen at Royds before 2005 and after 2006, bred there in 2009",NA,0.285585440199512,-0.285585440199512,-0.10953139299467,-0.197558416597091,2006,"0607",-77.451215,169.230201
"9",11,11,2349,"ROYD","CROZ",2002,0,"NB",0,"BREF","KA","F",1999,3,0,"","Only seen at Crozier in 2002, then at Royds and Bird",NA,0.0350563032426977,-0.0350563032426977,NA,-0.0350563032426977,2002,"0203",-77.44902,169.22199
"10",16,16,2726,"ROYD","CROZ",2006,1,"CR8",1,"D","KA","F",2000,6,0,"","Seen at Royds and Bird before breeding at Crozier",NA,0.224602860396655,0.775397139603345,-0.0793349717302331,0.348031083936556,2006,"0607",-77.460507,169.228275
"11",19,19,2762,"ROYD","CROZ",2006,0,"NB",0,"L","KA","F",2000,6,0,"","Seen at Royds before breeding at Crozier",NA,0.224602860396655,-0.224602860396655,-0.0793349717302331,-0.151968916063444,2006,"0607",-77.453055,169.234734
"12",20,20,2762,"ROYD","CROZ",2007,1,"CR9",1,"M","KA","F",2000,7,0,"","Seen at Royds before breeding at Crozier",NA,0.305293816836437,0.694706183163563,-0.151968916063444,0.130256117012225,2007,"0708",-77.453034,169.23475
"13",21,21,2762,"ROYD","CROZ",2008,1,"FAIL",0,"M","KA","F",2000,8,1,"","Seen at Royds before breeding at Crozier",NA,0.426041414671926,-0.426041414671926,0.130256117012225,-0.00881826590881277,2008,"0809",-77.453082,169.234863
"14",23,23,2762,"ROYD","CROZ",2010,1,"FAIL",0,"M","KA","F",2000,10,2,"","Seen at Royds before breeding at Crozier",NA,0.58339103304717,-0.58339103304717,-0.0774247987709807,-0.161752504483679,2010,"1011",-77.453069,169.234833
"15",24,24,2762,"ROYD","CROZ",2011,1,"FAIL",0,"M","KA","F",2000,11,3,"","Seen at Royds before breeding at Crozier",NA,0.473430672844998,-0.473430672844998,-0.161752504483679,-0.206277957106724,2011,"1112",-77.453103,169.234702
"16",26,26,2762,"ROYD","CROZ",2013,1,"FAIL?",0,"M","KA","F",2000,13,4,"","Seen at Royds before breeding at Crozier",NA,0.424199549896245,-0.424199549896245,-0.241822505910621,-0.262086621909024,2013,"1314",-77.453129,169.234794
"17",32,34,3575,"ROYD","CROZ",2008,0,"NB",0,"N","KA","F",2002,6,0,"","First seen at Royds, then Bird, then Crozier; never bred",NA,0.165230375633306,-0.165230375633306,NA,-0.165230375633306,2008,"0809",-77.451843,169.221516
"18",36,39,3907,"ROYD","CROZ",2006,0,"NB",0,"G","KA","M",2003,3,0,"","",NA,0.084288231372515,-0.084288231372515,NA,-0.084288231372515,2006,"0607",-77.455824,169.24954
"19",37,40,4147,"ROYD","CROZ",2008,0,"NB",0,"L","KA","U",2004,4,0,"","",NA,0.0862970143715932,-0.0862970143715932,NA,-0.0862970143715932,2008,"0809",-77.454472,169.236263
"20",38,41,4177,"ROYD","CROZ",2009,1,"FAIL",0,"L","KA","F",2004,5,0,"","Tried breeding first at Crozier in 2009, then bred at Royds until 2013, at least",NA,0.062313826433207,-0.062313826433207,NA,-0.062313826433207,2009,"0910",-77.453638,169.234935
"21",44,47,4749,"ROYD","CROZ",2014,1,"CR1?",1,"HK","KA","U",2006,8,0,"","",NA,0.163315062830781,0.836684937169219,-0.0812213998088827,0.224747379183818,2014,"1415",-77.456304,169.245
"22",49,52,4984,"ROYD","CROZ",2011,0,"NB",0,"N","KA","M",2007,4,0,"","",NA,0.0517304623188865,-0.0517304623188865,NA,-0.0517304623188865,2011,"1112",-77.452111,169.223762
"23",50,53,4984,"ROYD","CROZ",2012,1,"FAIL",0,"N","KA","M",2007,5,0,"","",NA,0.0741530965884092,-0.0741530965884092,-0.0517304623188865,-0.0629417794536478,2012,"1213",-77.452117,169.223672
"24",61,65,5902,"BIRD","CROZ",2013,1,"FAIL?",0,"P","KA","M",2008,5,0,"","",NA,0.0850620436647468,-0.0850620436647468,-0.0644432543365351,-0.0713161841126057,2013,"1314",-77.454777,169.223296
"25",63,67,5902,"BIRD","CROZ",2015,1,"FAIL",0,"P","KA","M",2008,7,1,"","",NA,0.224296287681426,-0.224296287681426,-0.115777321628942,-0.137481114839439,2015,"1516",-77.454771,169.223227
"26",64,68,5902,"BIRD","CROZ",2016,1,"CR1?",1,"P","KA","U",2008,8,2,"","",NA,0.433388706674599,0.566611293325401,-0.137481114839439,-0.0201323801452988,2016,"1617",-77.454808,169.223285
"27",65,69,5902,"BIRD","CROZ",2017,1,"CR8",1,"P","KA","U",2008,9,3,"","",NA,0.6639025228008,0.3360974771992,-0.0201323801452989,0.0307575994753439,2017,"1718",-77.454784,169.223349
"28",75,82,20695,"BIRD","CROZ",2002,1,"FAIL",0,"BREF","KA","F",1996,6,1,"","",NA,0.262469456954333,-0.262469456954333,NA,-0.262469456954333,2002,"0203",-77.44963,169.21932
"29",83,92,21301,"CROZ","CROZ",2004,1,"FAIL",0,"M","KA","M",1997,7,0,"","",NA,0.195979347212452,-0.195979347212452,-0.0499164109425885,-0.0791289981965613,2004,"0405",-77.452546,169.234257
"30",84,93,21301,"CROZ","CROZ",2005,1,"CR1",1,"M","KA","M",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,-0.0791289981965613,0.0313748926609774,2005,"0506",-77.452551,169.234058
"31",89,98,21302,"CROZ","CROZ",2004,1,"FAIL",0,"M","KA","M",1997,7,0,"","",NA,0.195979347212452,-0.195979347212452,-0.0499164109425885,-0.0791289981965613,2004,"0405",-77.453013,169.23202
"32",91,101,21307,"CROZ","CROZ",2002,1,"FAIL",0,"N","KA","M",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0298907048604198,-0.0700004670240459,2002,"0203",-77.45102,169.22205
"33",92,102,21307,"CROZ","CROZ",2003,0,"NB",0,"N","KA","M",1997,6,1,"","",NA,0.0773581235719957,-0.0773581235719957,-0.0700004670240457,-0.0724530192066958,2003,"0304",-77.451071,169.221843
"34",101,111,21311,"CROZ","CROZ",2003,1,"FAIL",0,"M","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.453055,169.233259
"35",106,116,21316,"CROZ","CROZ",2002,1,"FAIL",0,"M","KA","M",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0251145176476161,-0.0534464214943014,2002,"0203",-77.45308,169.23285
"36",108,118,21316,"CROZ","CROZ",2004,1,"FAIL",0,"M","KA","M",1997,7,1,"","",NA,0.332994563074363,-0.332994563074363,-0.0594243470137249,-0.114138390225853,2004,"0405",-77.453072,169.232878
"37",112,122,21316,"CROZ","CROZ",2008,1,"CR1",1,"M","KA","M",1997,11,4,"","",NA,0.70629669436349,0.29370330563651,-0.190489540469373,-0.136690335346498,2008,"0809",-77.45312,169.232706
"38",114,124,21316,"CROZ","CROZ",2010,1,"CR2",1,"M","KA","M",1997,13,5,"","",NA,0.725672414360579,0.274327585639421,-0.178272849324662,-0.137127355237019,2010,"1011",-77.453045,169.232767
"39",119,130,21328,"CROZ","CROZ",2003,0,"NB",0,"M","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.452921,169.233211
"40",121,132,21328,"CROZ","CROZ",2005,1,"FAIL",0,"M","KA","F",1997,8,0,"","",NA,0.258127357331144,-0.258127357331144,-0.0791289981965613,-0.108962058052325,2005,"0506",-77.45292,169.23343
"41",122,133,21328,"CROZ","CROZ",2006,1,"CR1",1,"M","KA","F",1997,9,1,"","",NA,0.680360862735052,0.319639137264948,-0.108962058052325,-0.0477333158641432,2006,"0607",-77.452884,169.233474
"42",124,135,21328,"CROZ","CROZ",2008,1,"CR1",1,"M","KA","F",1997,11,2,"","",NA,0.70629669436349,0.29370330563651,-0.138321655920911,-0.0903188824145307,2008,"0809",-77.452911,169.233356
"43",125,136,21328,"CROZ","CROZ",2009,1,"CR1",1,"M","KA","F",1997,12,3,"","",NA,0.552515475128147,0.447484524871853,-0.0903188824145307,-0.0365385416858924,2009,"0910",-77.452918,169.233279
"44",129,140,21329,"CROZ","CROZ",2003,0,"NB",0,"M","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.45269,169.23345
"45",131,142,21329,"CROZ","CROZ",2005,1,"FAIL?",0,"M","KA","F",1997,8,0,"","",NA,0.258127357331144,-0.258127357331144,-0.0791289981965613,-0.108962058052325,2005,"0506",-77.45273,169.2332
"46",134,145,21330,"CROZ","CROZ",2002,1,"CR1?",1,"M","KA","U",1997,5,0,"","",NA,0.110110229187672,0.889889770812328,-0.0251145176476161,0.279886911839032,2002,"0203",-77.45294,169.23295
"47",142,154,21368,"CROZ","CROZ",2002,1,"FAIL",0,"M","KA","U",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0251145176476161,-0.0534464214943014,2002,"0203",-77.45316,169.23916
"48",149,161,21372,"CROZ","CROZ",2006,1,"CR2",1,"L","KA","U",1997,9,2,"","",NA,0.719171992567379,0.280828007432621,0.045515147050663,0.0847339571143226,2006,"0607",-77.453184,169.236993
"49",153,165,21372,"CROZ","CROZ",2011,1,"FAIL",0,"L","KA","U",1997,14,4,"","",NA,0.581058825149754,-0.581058825149754,-0.171358242569008,-0.212328300827083,2011,"1112",-77.453277,169.237092
"50",154,166,21372,"CROZ","CROZ",2012,1,"CR8",1,"L","KA","U",1997,15,5,"","",NA,0.544031719644335,0.455968280355665,-0.212328300827083,-0.151574066174106,2012,"1213",-77.453285,169.236997
"51",156,169,21373,"CROZ","CROZ",2003,0,"NB",0,"N","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0298907048604198,-0.0346085420739351,2003,"0304",-77.452943,169.223979
"52",157,170,21373,"CROZ","CROZ",2005,0,"NB",0,"C","KA","F",1997,8,0,"","",NA,0.258127357331144,-0.258127357331144,-0.0346085420739351,-0.109114813826338,2005,"0506",-77.45295,169.223703
"53",158,171,21373,"CROZ","CROZ",2006,1,"FAIL?",0,"C","KA","F",1997,9,0,"","",NA,0.509620571201701,-0.509620571201701,-0.109114813826338,-0.209241253170179,2006,"0607",-77.452916,169.223678
"54",159,172,21373,"CROZ","CROZ",2007,1,"CR1",1,"C","KA","F",1997,10,1,"","",NA,0.738311922883823,0.261688077116177,-0.209241253170179,-0.115055387112908,2007,"0708",-77.452943,169.223683
"55",160,173,21373,"CROZ","CROZ",2008,1,"FAIL?",0,"C","KA","F",1997,11,2,"","",NA,0.70629669436349,-0.70629669436349,-0.115055387112908,-0.213595604988005,2008,"0809",-77.452916,169.223726
"56",161,174,21373,"CROZ","CROZ",2009,1,"CR?",1,"C","KA","F",1997,12,3,"","",NA,0.552515475128147,0.447484524871853,-0.213595604988005,-0.119155586436596,2009,"0910",-77.452936,169.223723
"57",162,175,21379,"CROZ","CROZ",2001,0,"NB",0,"P","KA","F",1997,4,0,"","",NA,0.0203383304348124,-0.0203383304348124,NA,-0.0203383304348124,2001,"0102",-77.45472,169.2223
"58",163,176,21379,"CROZ","CROZ",2002,1,"FAIL",0,"B","KA","F",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0203383304348124,-0.0652242798112422,2002,"0203",-77.4514,169.22892
"59",166,179,21380,"CROZ","CROZ",2002,1,"FAIL",0,"M","KA","F",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0251145176476161,-0.0534464214943014,2002,"0203",-77.45185,169.23291
"60",167,180,21380,"CROZ","CROZ",2003,0,"NB",0,"M","KA","F",1997,6,1,"","",NA,0.0773581235719957,-0.0773581235719957,-0.0534464214943012,-0.059424347013725,2003,"0304",-77.45187,169.232835
"61",168,181,21380,"CROZ","CROZ",2004,0,"NB",0,"M","KA","F",1997,7,1,"","",NA,0.332994563074363,-0.332994563074363,-0.0594243470137249,-0.114138390225853,2004,"0405",-77.451854,169.233034
"62",169,182,21380,"CROZ","CROZ",2005,1,"CR1",1,"M","KA","F",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,-0.114138390225852,0.00220039930323469,2005,"0506",-77.451929,169.232717
"63",172,186,21381,"CROZ","CROZ",2002,1,"CR1?",1,"M","KA","M",1997,5,0,"","",NA,0.110110229187672,0.889889770812328,-0.0251145176476161,0.279886911839032,2002,"0203",-77.45313,169.23207
"64",174,188,21381,"CROZ","CROZ",2004,1,"CR2",1,"M","KA","M",1997,7,1,"","",NA,0.332994563074363,0.667005436925637,0.190575652986275,0.285861609774147,2004,"0405",-77.453173,169.2318
"65",175,189,21381,"CROZ","CROZ",2005,1,"FAIL",0,"M","KA","M",1997,8,2,"","",NA,0.461612343740062,-0.461612343740062,0.285861609774148,0.161282617521779,2005,"0506",-77.453152,169.23188
"66",176,190,21381,"CROZ","CROZ",2006,1,"CR1",1,"M","KA","M",1997,9,3,"","",NA,0.719171992567379,0.280828007432621,0.161282617521779,0.178360530366185,2006,"0607",-77.453147,169.231859
"67",177,191,21381,"CROZ","CROZ",2007,1,"CR2?",1,"M","KA","M",1997,10,4,"","",NA,0.772440036318284,0.227559963681716,0.178360530366185,0.184510459530627,2007,"0708",-77.453195,169.23217
"68",178,192,21381,"CROZ","CROZ",2009,1,"CR1?",1,"M","KA","M",1997,12,5,"","",NA,0.552515475128147,0.447484524871853,0.184510459530627,0.213729800124096,2009,"0910",-77.453208,169.23176
"69",179,193,21381,"CROZ","CROZ",2010,1,"CR1",1,"M","KA","M",1997,13,6,"","",NA,0.725672414360579,0.274327585639421,0.213729800124096,0.219789578675629,2010,"1011",-77.453208,169.23176
"70",188,203,21399,"CROZ","CROZ",2003,0,"NB",0,"M","KA","M",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.45283,169.23551
"71",191,206,21400,"CROZ","CROZ",2002,0,"NB",0,"N","KA","F",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0251145176476161,-0.0534464214943014,2002,"0203",-77.45178,169.22818
"72",192,207,21400,"CROZ","CROZ",2003,0,"NB",0,"N","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.451414,169.224762
"73",193,208,21400,"CROZ","CROZ",2004,1,"FAIL",0,"N","KA","F",1997,7,1,"","",NA,0.332994563074363,-0.332994563074363,-0.0499164109425885,-0.106532041368944,2004,"0405",-77.451457,169.224923
"74",196,211,21401,"CROZ","CROZ",2003,0,"NB",0,"L","KA","M",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.065224279811242,-0.0565916463033116,2003,"0304",-77.45349,169.236971
"75",197,212,21401,"CROZ","CROZ",2004,1,"FAIL",0,"L","KA","M",1997,7,0,"","",NA,0.195979347212452,-0.195979347212452,-0.0565916463033115,-0.0914385715305967,2004,"0405",-77.453469,169.236966
"76",198,213,21401,"CROZ","CROZ",2005,1,"CR8",1,"L","KA","M",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,-0.0914385715305967,0.0436280121652568,2005,"0506",-77.453381,169.23713
"77",199,214,21401,"CROZ","CROZ",2006,1,"CR1?",1,"L","KA","M",1997,9,2,"","",NA,0.719171992567379,0.280828007432621,0.0436280121652569,0.0831613447098175,2006,"0607",-77.453485,169.237084
"78",203,218,21401,"CROZ","CROZ",2010,1,"CR1?",1,"L","KA","M",1997,13,4,"","",NA,0.725672414360579,0.274327585639421,-0.170253793061224,-0.125795655191159,2010,"1011",-77.453463,169.236987
"79",212,228,21413,"CROZ","CROZ",2002,1,"FAIL",0,"M","KA","U",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0251145176476161,-0.0534464214943014,2002,"0203",-77.45311,169.23242
"80",218,235,21419,"CROZ","CROZ",2003,0,"NB",0,"M","KA","U",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.065224279811242,-0.0565916463033116,2003,"0304",-77.45277,169.23446
"81",222,239,21420,"CROZ","CROZ",2003,0,"NB",0,"M","KA","M",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.065224279811242,-0.0565916463033116,2003,"0304",-77.452836,169.235909
"82",224,241,21420,"CROZ","CROZ",2005,1,"FAIL",0,"M","KA","M",1997,8,0,"","",NA,0.258127357331144,-0.258127357331144,-0.0914385715305967,-0.124776328690706,2005,"0506",-77.45274,169.23645
"83",230,247,21428,"CROZ","CROZ",2004,1,"FAIL",0,"QR","KA","U",1997,7,0,"","",NA,0.195979347212452,-0.195979347212452,-0.0534464214943012,-0.0890796529238391,2004,"0405",-77.456762,169.224966
"84",232,249,21431,"CROZ","CROZ",2002,0,"NB",0,"E","KA","U",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0203383304348124,-0.0652242798112422,2002,"0203",-77.45462,169.24447
"85",239,256,21443,"CROZ","CROZ",2004,1,"CR2?",1,"L","KA","F",1997,7,0,"","",NA,0.195979347212452,0.804020652787548,-0.0393263792874504,0.382347136750049,2004,"0405",-77.453721,169.237674
"86",240,257,21443,"CROZ","CROZ",2005,1,"CR2?",1,"L","KA","F",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,0.382347136750049,0.44952954014959,2005,"0506",-77.453748,169.237878
"87",242,259,21454,"CROZ","CROZ",2002,1,"FAIL",0,"F","KA","U",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0298907048604198,-0.0700004670240459,2002,"0203",-77.45741,169.25693
"88",243,260,21454,"CROZ","CROZ",2003,0,"NB",0,"N","KA","U",1997,6,1,"","",NA,0.0773581235719957,-0.0773581235719957,-0.0700004670240457,-0.0724530192066958,2003,"0304",-77.451114,169.220529
"89",245,262,21455,"CROZ","CROZ",2001,0,"NB",0,"E","KA","M",1997,4,0,"","",NA,0.0203383304348124,-0.0203383304348124,-0.0298907048604198,-0.0251145176476161,2001,"0102",-77.45527,169.23987
"90",246,263,21455,"CROZ","CROZ",2002,1,"CR1?",1,"E","KA","M",1997,5,0,"","",NA,0.110110229187672,0.889889770812328,-0.0251145176476161,0.279886911839032,2002,"0203",-77.45527,169.23987
"91",247,264,21455,"CROZ","CROZ",2003,1,"CR1?",1,"E","KA","M",1997,6,1,"","",NA,0.0773581235719957,0.922641876428004,0.279886911839032,0.440575652986275,2003,"0304",-77.45527,169.23987
"92",251,268,21465,"CROZ","CROZ",2003,0,"NB",0,"M","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.452975,169.233651
"93",253,270,21465,"CROZ","CROZ",2005,1,"CR2",1,"M","KA","F",1997,8,0,"","",NA,0.258127357331144,0.741872642668856,-0.0791289981965613,0.0577046086143416,2005,"0506",-77.45299,169.23395
"94",254,271,21465,"CROZ","CROZ",2006,1,"CR1",1,"M","KA","F",1997,9,1,"","",NA,0.680360862735052,0.319639137264948,0.0577046086143416,0.0951238269929996,2006,"0607",-77.452948,169.233956
"95",255,272,21465,"CROZ","CROZ",2007,1,"CR2",1,"M","KA","F",1997,10,2,"","",NA,0.772440036318284,0.227559963681716,0.0951238269929996,0.111678344079089,2007,"0708",-77.452943,169.233495
"96",257,274,21465,"CROZ","CROZ",2009,1,"CR1",1,"M","KA","F",1997,12,3,"","",NA,0.552515475128147,0.447484524871853,0.0207922286965804,0.0634614583141076,2009,"0910",-77.4529,169.234253
"97",258,275,21465,"CROZ","CROZ",2010,1,"CR1",1,"M","KA","F",1997,13,4,"","",NA,0.725672414360579,0.274327585639421,0.0634614583141077,0.0826311062527725,2010,"1011",-77.45292,169.234295
"98",259,276,21465,"CROZ","CROZ",2011,1,"FAIL",0,"M","KA","F",1997,14,5,"","",NA,0.581058825149754,-0.581058825149754,0.0826311062527725,0.0273236119692286,2011,"1112",-77.452946,169.234294
"99",262,280,21471,"CROZ","CROZ",2002,0,"NB",0,"P","KA","F",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,-0.0298907048604198,-0.0700004670240459,2002,"0203",-77.45546,169.22873
"100",268,286,21473,"CROZ","CROZ",2004,1,"FAIL",0,"M","KA","U",1997,7,0,"","",NA,0.195979347212452,-0.195979347212452,-0.0499164109425885,-0.0791289981965613,2004,"0405",-77.453141,169.235083
"101",269,287,21473,"CROZ","CROZ",2005,1,"CR8?",1,"M","KA","U",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,-0.0791289981965613,0.0313748926609774,2005,"0506",-77.453148,169.234853
"102",270,288,21473,"CROZ","CROZ",2006,1,"CR1?",1,"M","KA","U",1997,9,2,"","",NA,0.719171992567379,0.280828007432621,0.0313748926609774,0.0670110519140694,2006,"0607",-77.453109,169.234836
"103",271,289,21473,"CROZ","CROZ",2007,1,"FAIL",0,"M","KA","U",1997,10,3,"","",NA,0.772440036318284,-0.772440036318284,0.0670110519140694,-0.0379203341149748,2007,"0708",-77.453109,169.234707
"104",272,290,21473,"CROZ","CROZ",2008,1,"CR2",1,"M","KA","U",1997,11,4,"","",NA,0.70629669436349,0.29370330563651,-0.0379203341149747,-0.00107326303147651,2008,"0809",-77.453147,169.23482
"105",276,294,21475,"CROZ","CROZ",2002,1,"CR1?",1,"M","KA","M",1997,5,0,"","",NA,0.110110229187672,0.889889770812328,-0.0251145176476161,0.279886911839032,2002,"0203",-77.45279,169.23472
"106",277,295,21475,"CROZ","CROZ",2003,1,"FAIL",0,"M","KA","M",1997,6,1,"","",NA,0.0773581235719957,-0.0773581235719957,0.279886911839032,0.190575652986275,2003,"0304",-77.45279,169.23472
"107",278,296,21475,"CROZ","CROZ",2004,1,"CR2?",1,"M","KA","M",1997,7,2,"","",NA,0.375253404374771,0.624746595625228,0.190575652986275,0.277409841514066,2004,"0405",-77.452819,169.234847
"108",279,297,21475,"CROZ","CROZ",2005,1,"FAIL",0,"M","KA","M",1997,8,3,"","",NA,0.461612343740062,-0.461612343740062,0.277409841514066,0.154239477305044,2005,"0506",-77.452825,169.234841
"109",280,298,21475,"CROZ","CROZ",2006,0,"NB",0,"M","KA","M",1997,9,4,"","",NA,0.719171992567379,-0.719171992567379,0.154239477305044,0.0294664101804125,2006,"0607",-77.452798,169.234852
"110",281,299,21475,"CROZ","CROZ",2007,1,"CR2",1,"M","KA","M",1997,10,4,"","",NA,0.772440036318284,0.227559963681716,0.0294664101804126,0.0542281043680754,2007,"0708",-77.452803,169.23475
"111",282,300,21475,"CROZ","CROZ",2008,1,"FAIL",0,"M","KA","M",1997,11,5,"","",NA,0.70629669436349,-0.70629669436349,0.0542281043680756,-0.030274651046543,2008,"0809",-77.452803,169.234782
"112",283,301,21475,"CROZ","CROZ",2009,1,"CR1?",1,"M","KA","M",1997,12,6,"","",NA,0.552515475128147,0.447484524871853,-0.0302746510465428,0.0175012665452966,2009,"0910",-77.452775,169.234831
"113",284,302,21475,"CROZ","CROZ",2010,1,"CR1",1,"M","KA","M",1997,13,7,"","",NA,0.725672414360579,0.274327585639421,0.0175012665452968,0.0408491137356716,2010,"1011",-77.452799,169.234819
"114",285,303,21475,"CROZ","CROZ",2011,0,"NB",0,"M","KA","M",1997,14,8,"","",NA,0.581058825149754,-0.581058825149754,0.0408491137356717,-0.0109765478381139,2011,"1112",-77.452781,169.23471
"115",289,307,21479,"CROZ","CROZ",2003,0,"NB",0,"M","KA","F",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,NA,-0.0393263792874504,2003,"0304",-77.453018,169.233361
"116",290,308,21479,"CROZ","CROZ",2004,1,"CR8?",1,"P","KA","F",1997,7,0,"","",NA,0.195979347212452,0.804020652787548,-0.0393263792874504,0.382347136750049,2004,"0405",-77.454568,169.230464
"117",291,309,21479,"CROZ","CROZ",2005,1,"FAIL?",0,"P","KA","F",1997,8,1,"","",NA,0.416105653051329,-0.416105653051329,0.382347136750049,0.116196206816256,2005,"0506",-77.45459,169.23056
"118",292,310,21481,"CROZ","CROZ",2002,0,"NB",0,"B","KA","U",1997,5,0,"","",NA,0.110110229187672,-0.110110229187672,NA,-0.110110229187672,2002,"0203",-77.45126,169.23076
"119",294,312,21481,"CROZ","CROZ",2004,1,"CR1?",1,"B","KA","U",1997,7,0,"","",NA,0.195979347212452,0.804020652787548,-0.074718304237561,0.218194681437475,2004,"0405",-77.451237,169.230636
"120",295,313,21481,"CROZ","CROZ",2005,1,"FAIL",0,"B","KA","U",1997,8,1,"","",NA,0.416105653051329,-0.416105653051329,0.218194681437475,0.0596195978152741,2005,"0506",-77.451255,169.230692
"121",307,325,21485,"CROZ","CROZ",2005,1,"CR2?",1,"M","KA","M",1997,8,1,"","",NA,0.416105653051329,0.583894346948671,-0.0791289981965613,0.0313748926609774,2005,"0506",-77.452406,169.234133
"122",308,326,21485,"CROZ","CROZ",2006,1,"FAIL",0,"M","KA","M",1997,9,2,"","",NA,0.719171992567379,-0.719171992567379,0.0313748926609774,-0.0758460909430735,2006,"0607",-77.4524,169.23416
"123",310,328,21485,"CROZ","CROZ",2008,1,"CR1",1,"M","KA","M",1997,11,4,"","",NA,0.70629669436349,0.29370330563651,-0.162920334114975,-0.112184374142588,2008,"0809",-77.452396,169.23409
"124",311,329,21485,"CROZ","CROZ",2009,1,"CR1",1,"M","KA","M",1997,12,5,"","",NA,0.552515475128147,0.447484524871853,-0.112184374142587,-0.0562174842411436,2009,"0910",-77.452392,169.234144
"125",312,330,21485,"CROZ","CROZ",2010,1,"CR?",1,"M","KA","M",1997,13,6,"","",NA,0.725672414360579,0.274327585639421,-0.0562174842411435,-0.0261679324338195,2010,"1011",-77.452392,169.234143
"126",313,331,21485,"CROZ","CROZ",2011,1,"CR1",1,"M","KA","M",1997,14,7,"","",NA,0.581058825149754,0.418941174850246,-0.0261679324338194,0.010924493173186,2011,"1112",-77.452421,169.234142
"127",321,339,21495,"CROZ","CROZ",2003,0,"NB",0,"M","KA","M",1997,6,0,"","",NA,0.0393263792874504,-0.0393263792874504,-0.0534464214943012,-0.0499164109425887,2003,"0304",-77.45292,169.23435
