OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
1,0,1,6.581701998933164
2,1,1,10.224356097360952
3,2,1,14.627219485413459
4,3,1,6.157965347096838
5,4,1,5.503238384470677
6,5,1,8.046732830180991
7,6,1,101.595111141252460
8,7,1,120.278917596339330
9,8,1,49.476664177218240
10,9,1,178.939775015117730
11,10,1,25.524376508686760
12,11,1,134.538564026649850
13,12,1,190.504016464844850
14,13,1,192.464289366996180
15,14,1,127.511312961247650
16,15,1,147.134724652385020
17,16,1,125.052476532675070
18,17,1,117.905296963729730
19,18,1,127.429009663246550
20,19,1,116.749579815399910
21,20,1,103.995416474336980
22,21,1,97.973069802729725
23,22,1,97.329326233348894
24,23,1,54.557489630629874
25,24,1,73.804785679968106
26,25,1,87.468041730184183
27,26,1,88.692159646692986
28,27,1,79.575484031019613
29,28,1,152.953471622244450
30,29,1,146.546685837973110
31,30,1,116.722816836360290
32,31,1,100.178262586223470
33,32,1,42.360415505791885
34,33,1,82.244288497404114
35,34,1,72.517630909265151
36,35,1,18.777957964548676
37,36,1,9.311613679349936
38,37,1,84.117258799747503
39,38,1,20.292996005027824
40,39,1,103.940387644693290
41,40,1,174.290660813331870
42,41,1,28.914490899025051
43,42,1,40.516171303358277
44,43,1,56.615221580887749
45,44,1,162.623096876106500
46,45,1,17.108892233462853
47,46,1,239.722018691587810
48,47,1,84.284841113672371
49,48,1,103.687720610482440
50,49,1,33.296236432871495
51,50,1,152.352054407213670
52,51,1,38.129060012683645
53,52,1,64.111433330454915
54,53,1,48.183807538832070
55,54,1,22.287647136524747
56,55,1,28.123903989774991
57,56,1,11.951154269183581
58,57,1,18.909354326358486
59,58,1,0.000000000000000
60,59,1,172.647954307279890
61,60,1,21.138527300215497
62,61,1,4.492687996130505
63,62,1,46.275334691516470
64,63,1,89.647642574508083
65,64,1,109.171137351287070
66,65,1,28.038485071191271
67,66,1,0.000000000000000
68,67,1,42.310782871593986
69,68,1,65.041152157275732
70,69,1,3.909797501512843
71,70,1,2.196550922453964
72,71,1,0.350406070169052
73,72,1,24.828267036399971
74,73,1,49.871288249321402
75,74,1,121.232934625518720
76,75,1,134.622877926467420
77,76,1,149.119326894489060
78,77,1,163.127484350913730
79,78,1,193.071100687838030
80,79,1,186.616626724225280
81,80,1,4.300203804337483
82,81,1,50.587467294323964
83,82,1,89.732699560562011
84,83,1,55.985925231587814
85,84,1,93.761346167493073
86,85,1,18.979545154857586
87,86,1,97.369197879791997
88,87,1,96.973470034702288
89,88,1,3.893073830507869
90,89,1,57.798769699381545
91,90,1,38.348047344701357
92,91,1,103.995416468263260
93,92,1,34.679208689014708
94,93,1,20.378245806449907
95,94,1,20.378245806269870
96,95,1,176.311689731155380
97,96,1,174.290660813331870
98,97,1,48.505152329220991
99,98,1,48.183807538832070
100,99,1,57.529306943743173
101,100,1,47.811217458264480
102,101,1,4.434096323910469
103,102,1,159.905720331765790
104,103,1,32.277699264929396
105,104,1,129.082420519785900
106,105,1,3.265126773879657
107,106,1,3.265126772540359
108,107,1,40.836652190904736
109,108,1,28.914490898160430
110,109,1,74.634699030996913
111,110,1,51.088635606821882
112,111,1,77.498297676384198
113,112,1,28.890869616942403
114,113,1,75.072495085967489
115,114,1,166.166204289640970
