OID_,royd_subco,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1a,1,18,72.000000000000000,-42.549804687500000,-39.822265625000000,2.727539062500000,-40.884657118100002,0.729414898636000,-735.923828125000000
,1c,2,3,12.000000000000000,-39.253906250000000,-38.215820312500000,1.038085937500000,-38.828125000000000,0.443845955230000,-116.484375000000000
,1b,3,1,4.000000000000000,-44.546875000000000,-44.546875000000000,0.000000000000000,-44.546875000000000,0.000000000000000,-44.546875000000000
,2,4,14,56.000000000000000,-43.428710937500000,-40.506835937500000,2.921875000000000,-41.724539620500003,0.924791242121000,-584.143554687999990
,3c,5,2,8.000000000000000,-45.702148437500000,-45.597656250000000,0.104492187500000,-45.649902343800001,0.052246093750000,-91.299804687500000
,4,6,4,16.000000000000000,-42.959960937500000,-42.486328125000000,0.473632812500000,-42.710449218800001,0.189936385297000,-170.841796875000000
,14a-b,7,4,16.000000000000000,-42.470703125000000,-42.259765625000000,0.210937500000000,-42.365478515600003,0.075664296304900,-169.461914062999990
,5,8,10,40.000000000000000,-41.462890625000000,-40.333984375000000,1.128906250000000,-40.770312500000003,0.344433967540000,-407.703125000000000
,6,9,28,112.000000000000000,-38.667968750000000,-36.313476562500000,2.354492187500000,-37.364362444199998,0.692771043154000,-1046.202148440000000
,23,10,7,28.000000000000000,-37.742187500000000,-36.975585937500000,0.766601562500000,-37.306919642899999,0.260088347990000,-261.148437500000000
,21,11,63,252.000000000000000,-41.812500000000000,-37.964843750000000,3.847656250000000,-39.612444196399998,0.790675235273000,-2495.583984379999900
,9s,12,6,24.000000000000000,-35.141601562500000,-34.629882812500000,0.511718750000000,-34.824218750000000,0.178885175194000,-208.945312500000000
,9n,13,13,52.000000000000000,-37.650390625000000,-35.570312500000000,2.080078125000000,-36.846529447100004,0.559797507732000,-479.004882812999990
,10n,14,2,8.000000000000000,-40.622070312500000,-40.448242187500000,0.173828125000000,-40.535156250000000,0.086914062500000,-81.070312500000000
, ,15,4,16.000000000000000,-41.175781250000000,-35.886718750000000,5.289062500000000,-38.868896484399997,1.900227570080000,-155.475585937999990
,19,16,7,28.000000000000000,-41.581054687500000,-41.015625000000000,0.565429687500000,-41.322684151799997,0.174968558731000,-289.258789062999990
,wb2,17,6,24.000000000000000,-40.843750000000000,-40.331054687500000,0.512695312500000,-40.625488281300001,0.167933497315000,-243.752929687999990
,10s,18,35,140.000000000000000,-38.547851562500000,-35.717773437500000,2.830078125000000,-37.103822544600000,0.687220480296000,-1298.633789060000000
,11-12,19,150,600.000000000000000,-30.952148437500000,-29.053710937500000,1.898437500000000,-29.906295572900000,0.384432695175000,-4485.944335940000200
,20a,20,1,4.000000000000000,-42.618164062500000,-42.618164062500000,0.000000000000000,-42.618164062500000,0.000000000000000,-42.618164062500000
,20b,21,31,124.000000000000000,-38.935546875000000,-33.162109375000000,5.773437500000000,-36.454952116900003,1.638102369430000,-1130.103515629999900
,3a,22,6,24.000000000000000,-41.152343750000000,-40.431640625000000,0.720703125000000,-40.746093750000000,0.252706500427000,-244.476562500000000
,3b,23,3,12.000000000000000,-43.823242187500000,-43.353515625000000,0.469726562500000,-43.535807291700003,0.205673016962000,-130.607421875000000
