OID_,royd_subco,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,1a,1,18,72.000000000000000,105,179,74,126.833333333000000,17.477763650499998,2283.000000000000000,16,116,105,123
,1c,2,3,12.000000000000000,89,93,4,91.000000000000000,1.632993161860000,273.000000000000000,3,89,89,91
,1b,3,1,4.000000000000000,209,209,0,209.000000000000000,0.000000000000000,209.000000000000000,1,209,209,209
,2,4,14,56.000000000000000,99,133,34,115.071428571000000,12.747348663900000,1611.000000000000000,13,100,99,111
,3c,5,2,8.000000000000000,127,129,2,128.000000000000000,1.000000000000000,256.000000000000000,2,127,127,127
,4,6,4,16.000000000000000,43,46,3,45.250000000000000,1.299038105680000,181.000000000000000,2,46,43,46
,14a-b,7,4,16.000000000000000,72,82,10,76.250000000000000,3.631459761580000,305.000000000000000,4,72,72,75
,5,8,10,40.000000000000000,78,136,58,103.700000000000000,19.235643997499999,1037.000000000000000,9,105,78,105
,6,9,28,112.000000000000000,70,91,21,81.035714285699996,5.621909581890000,2269.000000000000000,17,81,70,81
,23,10,7,28.000000000000000,87,90,3,88.285714285699996,1.030157507270000,618.000000000000000,4,87,90,88
,21,11,63,252.000000000000000,29,132,103,93.571428571400006,16.884964933799999,5895.000000000000000,37,87,29,92
,9s,12,6,24.000000000000000,30,67,37,48.333333333299997,13.719410418200001,290.000000000000000,6,30,30,44
,9n,13,13,52.000000000000000,15,22,7,18.538461538499998,2.134528757770000,241.000000000000000,7,19,15,19
,10n,14,2,8.000000000000000,40,41,1,40.500000000000000,0.500000000000000,81.000000000000000,2,40,40,40
, ,15,4,16.000000000000000,30,97,67,52.750000000000000,26.780356607000002,211.000000000000000,4,30,30,33
,19,16,7,28.000000000000000,35,47,12,40.571428571399998,4.030495994190000,284.000000000000000,7,35,35,40
,wb2,17,6,24.000000000000000,36,44,8,40.666666666700003,2.624669291340000,244.000000000000000,5,41,36,41
,10s,18,35,140.000000000000000,0,19,19,5.257142857140000,5.447635697610000,184.000000000000000,16,0,1,4
,11-12,19,150,600.000000000000000,27,108,81,64.573333333299999,16.771542034700001,9686.000000000000000,58,46,27,63
,20a,20,1,4.000000000000000,47,47,0,47.000000000000000,0.000000000000000,47.000000000000000,1,47,47,47
,20b,21,31,124.000000000000000,0,26,26,12.161290322599999,6.304615688540000,377.000000000000000,15,12,6,12
,3a,22,6,24.000000000000000,69,84,15,76.166666666699996,4.810289896550000,457.000000000000000,6,69,69,74
,3b,23,3,12.000000000000000,94,97,3,95.000000000000000,1.414213562370000,285.000000000000000,2,94,97,94
