OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
96,8,429,23.820297711854760,8
97,8,44,31.687171772867757,9
98,8,49,46.660936982161608,10
99,8,46,48.130943565003051,11
100,9,682,0.000000000000000,1
101,9,685,12.587714255905246,2
102,9,76,20.623292374927935,3
103,9,81,26.299796845298587,4
104,9,686,30.108110468090274,5
105,9,688,33.903037748359075,6
106,9,38,35.055882379905476,7
107,9,85,43.090812552800784,8
108,9,691,43.670807910741125,9
109,9,687,43.790662114174971,10
110,9,751,44.499098489561753,11
111,10,683,0.000000000000000,1
112,10,64,7.634849285429593,2
113,10,69,7.694529881195873,3
114,10,65,8.148597983390532,4
115,10,67,11.166459934682761,5
116,10,66,13.536461402565902,6
117,10,62,16.265525792435312,7
118,10,163,22.194642816863045,8
119,10,63,22.242712994055317,9
120,10,162,22.948784364961053,10
121,10,772,22.948784364961053,10
122,11,684,0.000000000000000,1
123,11,75,1.145489486368315,2
124,11,76,4.678754352703765,3
125,11,79,4.774201163724980,4
126,11,37,4.999094323706016,5
127,11,36,5.345685907716719,6
128,11,98,6.944476488727441,7
129,11,97,12.066695008186972,8
130,11,39,16.971143522930134,9
131,11,33,17.738352364966634,10
132,11,38,24.263373433776426,11
133,12,685,0.000000000000000,1
134,12,686,9.132691907740247,2
135,12,682,12.587779593105628,3
136,12,76,15.896850848400332,4
137,12,751,22.850666672195331,5
138,12,38,33.521849408262142,6
139,12,688,34.925214000911957,7
140,12,752,35.227262547627603,8
141,12,748,38.836861725964539,9
142,12,81,43.285016724536099,10
143,12,750,44.432841543494916,11
144,13,686,0.000000000000000,1
145,13,751,6.660040350602724,2
146,13,685,9.132775319974252,3
147,13,752,17.812716960513534,4
148,13,76,28.745301868824114,5
149,13,682,30.108186806928554,6
150,13,750,30.810205456150623,7
151,13,701,31.684539638335966,8
152,13,748,32.341124533498558,9
153,13,688,42.695306489739302,10
154,13,38,45.390104249245468,11
155,14,687,0.000000000000000,1
156,14,81,5.457204739038384,2
157,14,85,6.928325387279940,3
158,14,690,8.415707496142019,4
159,14,693,10.915084824696917,5
160,14,764,10.915084824696917,5
161,14,694,16.306795098233227,6
162,14,692,18.418873611410568,7
163,14,691,18.745865964529479,8
164,14,695,23.595740782915666,9
165,14,489,24.352884014459725,10
166,15,688,0.000000000000000,1
167,15,691,7.178445967672033,2
168,15,89,16.857210577229026,3
169,15,81,19.379837922784709,4
170,15,85,22.587936004459515,5
171,15,689,23.949844183402174,6
172,15,87,24.167059006888390,7
173,15,687,31.010207999262974,8
174,15,748,32.030533704980591,9
175,15,682,33.902963178818560,10
176,15,685,34.925245714572249,11
177,16,689,0.000000000000000,1
178,16,89,3.041362299447328,2
179,16,691,6.020238364898393,3
180,16,87,14.391062832044771,4
181,16,695,23.894716266218470,5
182,16,688,23.949807087486526,6
183,16,703,28.177879126123702,7
184,16,748,29.142908557827266,8
185,16,749,37.608896444250007,9
186,16,707,40.969815448920237,10
187,16,85,42.186707052253354,11
188,17,690,0.000000000000000,1
189,17,694,5.600743581018590,2
190,17,687,8.415711821616995,3
191,17,693,8.835867056278515,4
192,17,764,8.835867056278515,4
193,17,695,13.945748025327546,5
194,17,85,14.972280338659850,6
195,17,81,19.305372738696761,7
196,17,691,20.386632764324801,8
197,17,692,23.900807283837235,9
198,17,495,24.748770482488943,10
199,18,691,0.000000000000000,1
200,18,89,3.315648149817659,2
201,18,87,5.852706726395136,3
202,18,689,6.020298223390147,4
203,18,688,7.178452705672652,5
204,18,85,9.424903699165277,6
205,18,81,11.172294322447735,7
206,18,695,18.353270489859742,8
207,18,687,18.745814658440363,9
208,18,690,20.386635315656623,10
209,18,694,22.365432296090031,11
210,19,692,0.000000000000000,1
211,19,764,0.000000000000000,1
212,19,693,2.708078058809644,2
213,19,489,5.229013111579729,3
214,19,687,18.418915634132205,4
215,19,81,18.635957711340669,5
216,19,494,20.258428064345701,6
217,19,783,20.258428064345701,6
218,19,690,23.900851343951565,7
219,19,694,25.679310159320345,8
220,19,493,28.342806332798475,9
221,20,693,0.000000000000000,1
222,20,764,0.000000000000000,1
223,20,692,2.708043686027927,2
224,20,690,8.835946702337873,3
225,20,694,9.279616655231324,4
226,20,687,10.915082959790420,5
227,20,495,11.448318875559055,6
228,20,782,11.448318875559055,6
229,20,489,14.602479283659449,7
230,20,494,15.039249881011118,8
231,20,783,15.039249881011118,8
232,21,694,0.000000000000000,1
233,21,695,2.873101261580548,2
234,21,690,5.600748429561887,3
235,21,693,9.279670808839637,4
236,21,764,9.279670808839637,4
237,21,495,9.817665090919951,5
238,21,782,9.817665090919951,5
239,21,706,13.288494954279887,6
240,21,687,16.306806628033048,7
241,21,707,20.448599784650991,8
242,21,691,22.365487458803113,9
243,22,695,0.000000000000000,1
244,22,89,1.422310096347946,2
245,22,694,2.873066569292428,3
246,22,706,7.718826607056763,4
247,22,707,9.203584045082076,5
248,22,690,13.945713139674034,6
249,22,87,14.418981200606474,7
250,22,691,18.353186799527720,8
251,22,495,19.436861882994737,9
252,22,782,19.436861882994737,9
253,22,693,22.768156614210529,10
254,23,696,0.000000000000000,1
255,23,49,4.768562748117021,2
256,23,48,5.284362753815108,3
257,23,95,7.130480042096694,4
258,23,63,7.663576298234037,5
259,23,96,15.974834843185887,6
260,23,61,22.586092239334722,7
261,23,47,23.379670041520669,8
262,23,62,25.632700663105762,9
263,23,761,27.648765875367761,10
264,23,423,30.951279218300456,11
265,24,697,0.000000000000000,1
266,24,100,1.172288726427587,2
267,24,101,6.053684321459005,3
268,24,786,6.053684321459005,3
269,24,698,7.214546441102343,4
270,24,72,14.610385965676716,5
271,24,73,21.476334931187282,6
272,24,71,23.641174399750188,7
273,24,699,30.558539275468231,8
274,24,700,37.209777817514023,9
275,24,70,43.839507129479500,10
276,25,698,0.000000000000000,1
277,25,699,5.622018873120345,2
278,25,697,7.214586643590771,3
279,25,100,15.068720580637388,4
280,25,700,20.607865072883019,5
281,25,101,22.112568490833461,6
282,25,786,22.112568490833461,6
283,25,72,24.569299452617560,7
284,25,105,26.302805476670184,8
285,25,73,29.216342819953990,9
286,25,71,39.065102037588247,10
287,26,699,0.000000000000000,1
288,26,698,5.621987540893961,2
289,26,700,7.031642684477593,3
290,26,105,9.514713036154957,4
291,26,697,30.558515292020768,5
292,26,106,34.113408617137139,6
293,26,107,37.926240818399016,7
294,26,100,40.146758104911790,8
295,26,101,47.136522957435140,9
296,26,786,47.136522957435140,9
297,26,72,50.994745085746494,10
298,27,700,0.000000000000000,1
299,27,105,3.719187405210270,2
300,27,699,7.031617644558711,3
301,27,106,18.069558747172810,4
302,27,698,20.607849445506218,5
303,27,107,25.477346768082736,6
304,27,697,37.209824811160622,7
305,27,711,43.529148163370820,8
306,27,100,49.192486369067453,9
307,27,101,56.080508223133357,10
308,27,786,56.080508223133357,10
309,28,701,0.000000000000000,1
310,28,752,2.824709679001582,2
311,28,109,3.440813174871772,3
312,28,750,13.928913782408779,4
313,28,751,16.607334729320286,5
314,28,686,31.684603063151322,6
315,28,748,42.338960530868412,7
316,28,685,48.701119896815349,8
317,28,749,54.429350257296434,9
318,28,699,54.603082692892919,10
319,28,698,58.369225602052396,11
320,29,702,0.000000000000000,1
321,29,749,5.966142672303426,2
322,29,750,7.758532948119634,3
323,29,703,7.818602090755653,4
324,29,458,8.053399713403373,5
325,29,748,22.590686084597472,6
326,29,89,36.231450858167520,7
327,29,704,40.550699760060851,8
328,29,752,52.400160270598818,9
329,29,459,55.451869096965922,10
330,29,689,57.353512724983737,11
331,30,703,0.000000000000000,1
332,30,89,1.768471546936574,2
333,30,748,4.340245359363478,3
334,30,458,5.615098735593624,4
335,30,702,7.818632357351641,5
336,30,749,9.561426726041926,6
337,30,704,11.665258332344381,7
338,30,750,21.484547496070093,8
339,30,459,27.713365783247106,9
340,30,689,28.177898622803180,10
341,30,691,35.500128931703983,11
342,31,704,0.000000000000000,1
343,31,89,5.379972005059846,2
344,31,458,6.484474312486282,3
345,31,459,9.144010341138868,4
346,31,703,11.665232141167483,5
347,31,457,22.691977830618843,6
348,31,118,23.794951344646773,7
349,31,119,24.514228459569065,8
350,31,748,28.648883929533270,9
351,31,460,37.920945136758874,10
352,31,702,40.550732641685265,11
353,32,705,0.000000000000000,1
354,32,123,1.854325336523750,2
355,32,89,11.476090380821010,3
356,32,456,11.847779874627300,4
357,32,457,18.877481015318448,5
358,32,119,21.590160745312545,6
359,32,465,26.887565610867238,7
360,32,459,28.004319656701217,8
361,32,707,34.706104105329381,9
362,32,466,34.818717890617087,10
363,32,114,35.585548171547281,11
364,33,706,0.000000000000000,1
365,33,707,2.285219862530526,2
366,33,695,7.718862951895801,3
367,33,114,10.722385192115112,4
368,33,495,11.840069899273496,5
369,33,782,11.840069899273496,5
370,33,694,13.288500985999292,6
371,33,89,19.276634328215437,7
372,33,113,22.136605728569624,8
373,33,123,23.849186143307278,9
374,33,690,33.193537864373575,10
375,34,707,0.000000000000000,1
376,34,706,2.285135139344811,2
377,34,114,5.380883087307280,3
378,34,89,6.413620962476025,4
379,34,123,9.098273434449556,5
380,34,695,9.203662703706069,6
381,34,113,18.598902212075313,7
382,34,495,18.813169748841936,8
383,34,782,18.813169748841936,8
384,34,694,20.448576848248283,9
385,34,87,33.594096757735429,10
386,35,708,0.000000000000000,1
387,35,457,1.860308102071062,2
388,35,753,4.834442069112557,3
389,35,456,7.226101665170690,4
390,35,709,9.683013161939702,5
391,35,462,11.113098416002575,6
392,35,461,16.344811920127487,7
393,35,464,20.291572715226337,8
394,35,460,26.645179581427008,9
395,35,118,34.991094092589535,10
396,35,459,44.652551141923539,11
397,36,709,0.000000000000000,1
398,36,753,2.117546397358176,2
399,36,456,2.406263206045588,3
400,36,464,4.475140203632276,4
401,36,708,9.683057250768446,5
402,36,457,10.964138399605297,6
403,36,462,11.134345926584187,7
404,36,461,38.250420516722066,8
405,36,465,40.384589888427243,9
406,36,460,50.267247353254461,10
407,36,705,54.075286108187051,11
408,37,710,0.000000000000000,1
409,37,660,8.771420199541097,2
410,37,461,9.664368744730144,3
411,37,460,9.741981485244819,4
412,37,458,10.305872906220753,5
413,37,653,29.201684088128673,6
414,37,118,32.106360720754736,7
415,37,457,42.866004101793564,8
416,37,127,49.875007397128577,9
417,37,654,54.510496720794684,10
418,37,459,54.671492660824597,11
419,38,711,0.000000000000000,1
420,38,148,17.374813766007374,2
421,38,106,25.189103120608554,3
422,38,107,27.935223090405426,4
423,38,149,30.940926507028902,5
424,38,700,43.529177536859862,6
425,38,105,46.024957115026311,7
426,38,716,52.865271035864538,8
427,38,164,55.346160834362585,9
428,38,699,56.820184823987859,10
429,38,129,58.920322235266113,11
430,39,712,0.000000000000000,1
431,39,130,0.789331059808284,2
432,39,132,5.721217546502574,3
433,39,129,10.370631943852068,4
434,39,150,26.491775228101243,5
435,39,760,26.826985577018796,6
436,39,107,39.729892914307719,7
437,39,144,42.253629465186719,8
438,39,149,43.947920200457880,9
439,39,713,52.715109143727716,10
440,39,768,52.715109143727716,10
441,40,713,0.000000000000000,1
442,40,768,0.000000000000000,1
443,40,769,0.000000000000000,1
444,40,165,1.259577477503584,2
445,40,167,24.981293760875410,3
446,40,166,27.761091436707904,4
447,40,496,32.463116672322109,5
448,40,132,33.142727605130531,6
449,40,497,36.228352550149651,7
450,40,233,51.707716514572802,8
451,40,712,52.715107815546197,9
452,41,714,0.000000000000000,1
453,41,781,0.000000000000000,1
454,41,137,3.744059571745503,2
455,41,780,3.744059571745503,2
456,41,715,11.901515821821699,3
457,41,135,14.988096111984508,4
458,41,138,18.552092155031513,5
459,41,184,34.179773977877737,6
460,41,718,40.958378748280658,7
461,41,442,41.251614859402650,8
462,41,148,42.723767095699138,9
463,42,715,0.000000000000000,1
464,42,138,3.183626127195015,2
465,42,137,5.032372368016576,3
466,42,780,5.032372368016576,3
467,42,781,5.032372368016576,3
468,42,714,11.901551094689120,4
469,42,135,15.323107178953485,5
470,42,442,17.680986131430963,6
471,42,718,21.914330178567695,7
472,42,184,24.981870969726447,8
473,42,140,33.630111743042235,9
474,43,716,0.000000000000000,1
475,43,149,1.816949022764301,2
476,43,184,7.267330341760033,3
477,43,148,23.192841107863249,4
478,43,140,25.418697737960962,5
479,43,144,25.747724958946659,6
480,43,482,32.336470648395199,7
481,43,141,34.530099961500177,8
482,43,760,35.323522755304062,9
483,43,135,41.559474858056255,10
484,43,142,47.318525906579744,11
485,44,717,0.000000000000000,1
486,44,150,2.263535779499206,2
487,44,482,2.272651314920257,3
488,44,145,43.623724713779822,4
489,44,175,48.798067791016905,5
490,44,157,49.368989762149596,6
491,44,760,50.054194211812089,7
492,44,712,59.385221393138679,8
493,44,158,61.274629464857178,9
494,44,144,61.738306249454844,10
495,44,499,63.033915119837488,11
496,45,718,0.000000000000000,1
497,45,442,1.302092533805456,2
498,45,159,12.722777588295052,3
499,45,715,21.914355782462088,4
500,45,138,22.012464536728334,5
501,45,482,32.386021728166455,6
502,45,137,35.254263000471809,7
503,45,780,35.254263000471809,7
504,45,781,35.254263000471809,7
505,45,714,40.958403223826956,8
506,45,744,41.197519106677404,9
507,46,719,0.000000000000000,1
508,46,552,6.446925849364707,2
509,46,468,6.790788408713357,3
510,46,479,11.251625267611551,4
511,46,555,22.445557693398889,5
512,46,173,25.798133082864357,6
513,46,558,30.192906637511282,7
514,46,559,36.607922136403296,8
515,46,243,39.953366586202939,9
516,46,172,45.965839766845122,10
517,46,171,48.195208980599631,11
518,47,720,0.000000000000000,1
519,47,445,8.320915408794967,2
520,47,446,12.905170333825131,3
521,47,499,17.083001429890732,4
522,47,187,21.577204269787561,5
523,47,179,22.230732430099746,6
524,47,196,22.453850771055521,7
525,47,185,33.628483561780200,8
526,47,189,34.977612692169615,9
527,47,197,36.462174797926053,10
528,47,503,36.839150700871826,11
529,48,206,0.000000000000000,1
530,48,721,0.000000000000000,1
531,48,255,7.239720294565039,2
532,48,208,15.993771326162484,3
533,48,254,29.224181022391928,4
534,48,209,30.696070076875213,5
535,48,777,30.696070076875213,5
536,48,218,31.130664662448609,6
537,48,219,31.552202165475798,7
538,48,225,37.708238702699738,8
539,48,253,38.222902007370031,9
540,49,722,0.000000000000000,1
541,49,743,11.943958516260714,2
542,49,212,28.238396412738133,3
543,49,210,36.174029121227662,4
544,49,221,36.694693825222565,5
545,49,220,41.857590764574219,6
546,49,254,44.489148906223178,7
547,49,255,51.276761258219445,8
548,49,763,54.285272334643302,9
549,49,224,55.748427691585988,10
550,49,253,58.165942791725413,11
551,50,723,0.000000000000000,1
552,50,512,6.732042228289347,2
553,50,522,7.944564171203199,3
554,50,523,10.475861661334473,4
555,50,513,11.046418060783557,5
556,50,521,13.060037611258497,6
557,50,524,13.183388413786023,7
558,50,525,14.507908037999831,8
559,50,203,18.131023996275569,9
560,50,488,18.421030120436885,10
561,50,656,20.496552168869673,11
562,51,724,0.000000000000000,1
563,51,277,4.368008454154530,2
564,51,273,6.666457014545253,3
565,51,271,6.980069056942083,4
566,51,276,7.785904793597234,5
567,51,270,8.440413667075394,6
568,51,766,10.882008815597745,7
569,51,767,10.882008815597745,7
570,51,765,17.705692750052375,8
571,51,272,18.484365195450600,9
572,51,269,22.067035891233864,10
573,52,725,0.000000000000000,1
574,52,284,14.213516572603101,2
575,52,315,20.102305353485107,3
576,52,304,24.064908329716175,4
577,52,314,24.522763663833501,5
578,52,765,26.528279125516356,6
579,52,767,26.528279125516356,6
580,52,281,33.104573731584011,7
581,52,280,34.266639976354426,8
582,52,305,34.887527945536277,9
583,52,286,35.392027485050889,10
584,53,726,0.000000000000000,1
585,53,770,0.000000000000000,1
586,53,771,0.000000000000000,1
587,53,346,4.213885048678719,2
588,53,288,10.857149889792192,3
589,53,291,23.983621919504813,4
590,53,731,25.435720342574466,5
591,53,289,27.476956896778244,6
592,53,290,29.823213381252554,7
593,53,347,34.116170348103331,8
594,53,287,42.489410068821449,9
595,54,727,0.000000000000000,1
596,54,300,5.868549946042987,2
597,54,302,6.234287873217423,3
598,54,728,9.086951625619379,4
599,54,301,10.613939851209862,5
600,54,297,16.468766905592958,6
601,54,296,18.530455716411247,7
602,54,295,29.865768946334374,8
603,54,306,35.452384633157159,9
604,54,294,35.468870900361281,10
605,54,304,42.548057398727842,11
606,55,728,0.000000000000000,1
607,55,727,9.087021601381254,2
608,55,306,16.079554665045986,3
609,55,297,21.405765629493001,4
610,55,304,21.460000660516343,5
611,55,300,21.953261664855042,6
612,55,305,28.242410307846086,7
613,55,302,28.964941919507833,8
614,55,301,34.509552549925388,9
615,55,303,36.128452564302840,10
616,55,296,36.206907419853003,11
617,56,729,0.000000000000000,1
618,56,779,0.000000000000000,1
619,56,309,1.911697790506009,2
620,56,778,1.911697790506009,2
621,56,307,3.256691014311444,3
622,56,312,6.750880666485012,4
623,56,308,10.168716733720457,5
624,56,310,10.378454944382831,6
625,56,313,10.867063920236674,7
626,56,306,18.244787821489233,8
627,56,318,20.831854270112750,9
628,57,730,0.000000000000000,1
629,57,545,14.999592597668125,2
630,57,544,20.078069040826790,3
631,57,547,24.964970965363374,4
632,57,551,27.817286381141223,5
633,57,548,28.803958383533054,6
634,57,550,29.061247514869706,7
635,57,546,31.362844020726282,8
636,57,549,32.133092825253826,9
637,57,643,39.578802263446072,10
638,57,343,44.711455763790063,11
639,58,731,0.000000000000000,1
640,58,288,1.876428126821829,2
641,58,290,3.484146131119585,3
642,58,289,5.241310192609237,4
643,58,347,11.507845360319557,5
644,58,726,25.435759995065492,6
645,58,770,25.435759995065492,6
646,58,771,27.459248384938704,7
647,58,287,27.515671276940292,8
648,58,346,31.089414292566090,9
649,58,291,33.412129449657158,10
650,59,732,0.000000000000000,1
651,59,787,2.215459532707105,2
652,59,528,6.731648170987406,3
653,59,261,19.794950172425640,4
654,59,633,23.125642836529032,5
655,59,569,32.708694199601453,6
656,59,262,33.246568760020956,7
657,59,527,39.303970144493015,8
658,59,336,41.808453000531507,9
659,59,747,46.291907006182313,10
660,59,632,47.526272948302790,11
661,60,733,0.000000000000000,1
662,60,359,5.872199006480043,2
663,60,361,6.681369009932867,3
664,60,360,9.321956606154240,4
665,60,357,9.802377960867370,5
666,60,367,17.841213812213752,6
667,60,754,19.387706559833067,7
668,60,529,20.715524741499259,8
669,60,735,26.203531757889099,9
670,60,362,28.135183217205558,10
671,60,368,28.313067597870234,11
672,61,734,0.000000000000000,1
673,61,363,3.550633891083447,2
674,61,533,4.812114915510622,3
675,61,536,5.520027579888696,4
676,61,364,5.917887312056607,5
677,61,362,12.206848312734550,6
678,61,411,14.655197175825263,7
679,61,440,22.441073179422656,8
680,61,441,35.410859559635696,9
681,61,361,36.460745647971578,10
682,61,735,37.225839331382048,11
683,62,735,0.000000000000000,1
684,62,370,1.426394207653495,2
685,62,784,1.426394207653495,2
686,62,356,5.137331482921273,3
687,62,368,5.210096497623988,4
688,62,371,6.002121177418403,5
689,62,411,6.118730221068820,6
690,62,531,7.790528093891426,7
691,62,367,8.068449417722730,8
692,62,357,13.315020183831280,9
693,62,532,15.190343237911007,10
694,63,736,0.000000000000000,1
695,63,538,4.528154378278937,2
696,63,535,5.627173300352562,3
697,63,537,12.188946852213368,4
698,63,377,14.781183230519771,5
699,63,539,24.205390052665319,6
700,63,381,30.321535167881240,7
701,63,637,32.654375693492220,8
702,63,531,36.833449851189933,9
703,63,380,49.519908542089723,10
704,63,638,51.705568165542807,11
705,64,737,0.000000000000000,1
706,64,530,2.626807527778455,2
707,64,389,5.233460145406923,3
708,64,632,11.984766141678348,4
709,64,356,15.684380866466089,5
710,64,481,17.236733984567671,6
711,64,388,21.079931228472685,7
712,64,371,28.681949807588779,8
713,64,570,29.672235956620352,9
714,64,370,30.214798691875558,10
715,64,784,30.214798691875558,10
716,65,738,0.000000000000000,1
717,65,392,4.745141455050392,2
718,65,391,13.560563679672372,3
719,65,378,14.994887131528222,4
720,65,379,16.011446326245672,5
721,65,538,16.765834382951549,6
722,65,739,23.913502586187864,7
723,65,535,26.670577165664756,8
724,65,421,58.497520964783682,9
725,65,531,77.706006048182260,10
726,65,377,94.077114553880520,11
727,66,739,0.000000000000000,1
728,66,738,23.913464045528809,2
729,66,392,27.190793225578567,3
730,66,535,28.891622883018773,4
731,66,538,35.953124151466028,5
732,66,391,53.211940749665402,6
733,66,531,59.112173431627369,7
734,66,379,61.748289227868440,8
735,66,378,63.727485104430571,9
736,66,421,107.232532326236240,10
737,66,534,114.443819613246250,11
738,67,740,0.000000000000000,1
739,67,540,2.791283746725908,2
740,67,541,5.040217346664309,3
741,67,542,14.886428304218787,4
742,67,339,15.788618482962791,5
743,67,340,27.076076097910267,6
744,67,543,29.626525230013186,7
745,67,338,30.041264156162114,8
746,67,643,34.902778686701716,9
747,67,345,35.331368493317868,10
748,67,633,38.404139414826339,11
749,68,741,0.000000000000000,1
750,68,414,1.730312361462963,2
751,68,327,4.929192667601343,3
752,68,505,9.995892711008585,4
753,68,416,14.024619319323158,5
754,68,415,16.449113977673626,6
755,68,412,23.462734444500921,7
756,68,326,28.498022733921530,8
757,68,323,29.923168104346143,9
758,68,417,30.213286473411053,10
759,68,322,38.257727926266973,11
760,69,742,0.000000000000000,1
761,69,678,48.525290582239457,2
762,69,658,52.404816475959677,3
763,69,6,56.779113028982337,4
764,69,659,61.988539235475919,5
765,69,677,64.722940422923500,6
766,69,9,69.289328150724813,7
767,69,8,76.862260802617755,8
768,69,10,81.664736625487009,9
769,69,657,86.464103750766910,10
770,69,11,105.586539691105440,11
771,70,743,0.000000000000000,1
772,70,509,3.723434795560860,2
773,70,217,10.139310502954151,3
774,70,763,11.688442992708090,4
775,70,216,11.705544628637160,5
776,70,722,11.943932445510120,6
777,70,210,16.079680836374077,7
778,70,213,30.198867523968488,8
779,70,214,30.365171679481943,9
780,70,218,37.663297108071021,10
781,70,221,40.003813773228373,11
782,71,744,0.000000000000000,1
783,71,430,2.742459160733039,2
784,71,482,4.157161399884561,3
785,71,469,8.143153609517578,4
786,71,152,9.983015968680753,5
787,71,154,15.090613197304991,6
788,71,153,21.678973759088620,7
789,71,159,23.036922541265874,8
790,71,442,28.638508764259260,9
791,71,470,37.429809539006186,10
792,71,718,41.197499755821489,11
793,72,745,0.000000000000000,1
794,72,561,0.710453277344152,2
795,72,433,3.332053321409123,3
796,72,785,3.332053321409123,3
797,72,746,9.164862360783582,4
798,72,671,10.233695282445442,5
799,72,762,16.757207944859822,6
800,72,432,21.484643619367457,7
801,72,756,21.484643619367457,7
802,72,645,21.689209400369439,8
803,72,661,30.106324362822988,9
804,73,746,0.000000000000000,1
805,73,762,4.242921943197966,2
806,73,745,9.164859635122570,3
807,73,432,9.653963469985293,4
808,73,756,9.653963469985293,4
809,73,433,16.283985922521367,5
810,73,785,16.283985922521367,5
811,73,561,21.590284025742953,6
812,73,661,21.807687946832885,7
813,73,653,31.480753746758900,8
814,73,671,33.698398250146283,9
815,74,747,0.000000000000000,1
816,74,260,3.063753546314100,2
817,74,527,4.789154970138209,3
818,74,259,14.591317875278285,4
819,74,354,27.168147997739034,5
820,74,258,27.900419403642150,6
821,74,261,29.867326211548850,7
822,74,528,30.246557657028330,8
823,74,529,36.050122177865234,9
824,74,668,40.307369537892271,10
825,74,787,40.668498148332780,11
826,75,748,0.000000000000000,1
827,75,749,1.219012328463205,2
828,75,703,4.340271018343325,3
829,75,89,6.331233046927605,4
830,75,750,13.540070573169473,5
831,75,751,20.544478087855683,6
832,75,458,20.870428798103106,7
833,75,702,22.590726027127808,8
834,75,752,24.558085101008757,9
835,75,691,28.360568013379321,10
836,75,704,28.648940229047181,11
837,76,749,0.000000000000000,1
838,76,748,1.219033431551878,2
839,76,702,5.966071262603961,3
840,76,703,9.561395268776344,4
841,76,750,10.630863617453604,5
842,76,89,14.892549153912540,6
843,76,458,20.105239511761514,7
844,76,689,37.608953559721144,8
845,76,691,39.078324629922733,9
846,76,704,41.790368325922628,10
847,76,752,44.381665205912284,11
848,77,750,0.000000000000000,1
849,77,752,3.215342462573405,2
850,77,702,7.758590490621587,3
851,77,751,9.251381912694544,4
852,77,749,10.630818614383736,5
853,77,748,13.540075492120510,6
854,77,701,13.928837154706736,7
855,77,703,21.484571956635783,8
856,77,458,24.778464377943646,9
857,77,686,30.810195280704029,10
858,77,89,33.585418618621965,11
859,78,751,0.000000000000000,1
860,78,752,1.423075993671178,2
861,78,686,6.660019675363046,3
862,78,750,9.251347874782436,4
863,78,701,16.607259362650680,5
864,78,748,20.544470294721492,6
865,78,685,22.850714914803671,7
866,78,89,43.504793154993045,8
867,78,682,44.499154100310143,9
868,78,76,45.055802723825515,10
869,78,749,45.216786886188466,11
870,79,752,0.000000000000000,1
