OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
1,0,673,0.000000000000000,1
2,0,2,4.524035684936025,2
3,0,674,51.492222951543333,3
4,0,29,97.408871192541127,4
5,0,23,99.077366583230017,5
6,0,28,107.843262223055970,6
7,0,27,114.419876862927230,7
8,0,455,114.616118562471730,8
9,0,438,129.623955951291660,9
10,0,439,139.334871812745580,10
11,0,675,139.700080725300670,11
12,1,2,0.000000000000000,1
13,1,674,0.000000000000000,1
14,1,677,38.177133283148883,2
15,1,673,51.492220211482270,3
16,1,675,55.662179925534815,4
17,1,676,55.662834091801031,5
18,1,6,66.622117733073111,6
19,1,23,70.191816116277508,7
20,1,29,106.714485383723100,8
21,1,758,113.401447003150200,9
22,1,28,114.734029543483830,10
23,2,675,0.000000000000000,1
24,2,676,5.379851957053295,2
25,2,677,29.532028404144178,3
26,2,2,55.662153063978373,4
27,2,674,55.662153063978373,4
28,2,6,98.034913965468306,5
29,2,673,139.700049291814140,6
30,2,742,155.958593807424280,7
31,2,23,177.981827715298350,8
32,2,678,214.692293986343230,9
33,2,758,216.209482987247840,10
34,3,676,0.000000000000000,1
35,3,675,5.379785858588029,2
36,3,677,13.291008344379557,3
37,3,2,55.662856037111347,4
38,3,674,55.662856037111347,4
39,3,6,82.182226572115454,5
40,3,742,138.995937809978700,6
41,3,673,149.878594619885010,7
42,3,23,176.321012671102810,8
43,3,678,198.339369471077480,9
44,3,658,203.152553081769300,10
45,4,677,0.000000000000000,1
46,4,6,6.065523641208237,2
47,4,676,13.290976827184769,3
48,4,675,29.531982890776000,4
49,4,2,38.177136579891794,5
50,4,674,38.177136579891794,5
51,4,742,64.722901550714198,6
52,4,678,122.692515930957360,7
53,4,23,124.865065475383760,8
54,4,658,129.622539099734380,9
55,4,9,134.380547519711090,10
56,5,678,0.000000000000000,1
57,5,658,1.640703563520870,2
58,5,659,3.742996262286042,3
59,5,10,13.036292055408159,4
60,5,657,16.241063228247739,5
61,5,8,22.601919273912983,6
62,5,9,24.770351500142507,7
63,5,11,38.240036975825475,8
64,5,742,48.525313803317658,9
65,5,12,51.796407381193958,10
66,5,774,51.796407381193958,10
67,6,679,0.000000000000000,1
68,6,455,2.285999745864044,2
69,6,29,3.082431690358981,3
70,6,757,3.082431690358981,3
71,6,490,14.357151543903649,4
72,6,20,27.639578557691888,5
73,6,32,32.824827500673102,6
74,6,680,44.103733438499390,7
75,6,491,46.630077803922973,8
76,6,22,46.747920560336397,9
77,6,773,46.747920560336397,9
78,7,680,0.000000000000000,1
79,7,455,3.807001488741145,2
80,7,447,16.700701103272149,3
81,7,32,36.530947877562944,4
82,7,29,43.824898903575658,5
83,7,757,43.824898903575658,5
84,7,679,44.103742761151267,6
85,7,429,49.986380809602473,7
86,7,490,51.541582620647254,8
87,7,491,57.368040617241753,9
88,7,52,74.410726621411115,10
89,8,681,0.000000000000000,1
90,8,51,7.191630491969413,2
91,8,42,10.301754268263213,3
92,8,45,16.901406998372664,4
93,8,761,17.055683004408849,5
94,8,428,17.426048685680769,6
95,8,41,18.924010892120286,7
