"subcol","active_ct","ch_ct","col","season","prod"
"20a",13,15,"royds","1718",1.15384615384615
"20b",69,78,"royds","0304",1.1304347826087
"20b",13,18,"royds","0506",1.38461538461538
"20b",149,146,"royds","0607",0.979865771812081
"20b",35,30,"royds","0708",0.857142857142857
"20b",144,82,"royds","0809",0.569444444444444
"20b",108,64,"royds","0910",0.592592592592593
"20b",151.5,138,"royds","1011",0.910891089108911
"20b",130,97,"royds","1112",0.746153846153846
"20b",164,110,"royds","1213",0.670731707317073
"20b",141,147,"royds","1415",1.04255319148936
"20b",157,110,"royds","1516",0.700636942675159
"20b",153,31,"royds","1617",0.202614379084967
"20b",162,116,"royds","1718",0.716049382716049
"21",27,47,"royds","0304",1.74074074074074
"21",18,23,"royds","0506",1.27777777777778
"21",126,139,"royds","0607",1.1031746031746
"21",164,157,"royds","0708",0.957317073170732
"21",147,90,"royds","0809",0.612244897959184
"21",98,108,"royds","0910",1.10204081632653
"21",199,167,"royds","1112",0.839195979899497
"21",263,312,"royds","1415",1.18631178707224
"21",326,251,"royds","1516",0.769938650306748
"21",277,161,"royds","1617",0.581227436823105
"21",398,373,"royds","1718",0.937185929648241
"23",4,6,"royds","0304",1.5
"23",19,19,"royds","0607",1
"23",30,33,"royds","0708",1.1
"23",23,13,"royds","0809",0.565217391304348
"23",30,23,"royds","0910",0.766666666666667
"23",209.5,42,"royds","1011",0.200477326968974
"23",38,34,"royds","1112",0.894736842105263
"23",29,28,"royds","1213",0.96551724137931
"23",44,59,"royds","1415",1.34090909090909
"23",57,47,"royds","1516",0.824561403508772
"23",43,27,"royds","1617",0.627906976744186
"23",43,40,"royds","1718",0.930232558139535
"2a-b",48,59,"royds","0304",1.22916666666667
"2a-b",111,90,"royds","0708",0.810810810810811
"2a-b",75,58,"royds","0809",0.773333333333333
"2a-b",73,62,"royds","0910",0.849315068493151
"3",13,15,"royds","0506",1.15384615384615
"3",116,86,"royds","0607",0.741379310344828
"3a",60,63,"royds","1011",1.05
"3a",44,49,"royds","1112",1.11363636363636
"3a",53,54,"royds","1415",1.0188679245283
"3a",50,36,"royds","1516",0.72
"3a",45,17,"royds","1617",0.377777777777778
"3a",38,34,"royds","1718",0.894736842105263
"3a-b",120,81,"royds","0708",0.675
"3a-b",77,45,"royds","0809",0.584415584415584
"3a-b",63,37,"royds","0910",0.587301587301587
"3a-b",61,53,"royds","1213",0.868852459016393
"3b",16,15,"royds","1112",0.9375
"3b",14,7,"royds","1415",0.5
"3b",8,1,"royds","1516",0.125
"3b",5,0,"royds","1617",0
"3c",6,7,"royds","0304",1.16666666666667
"3c",2,2,"royds","0506",1
"3c",15,7,"royds","0607",0.466666666666667
"3c",15,12,"royds","0708",0.8
"3c",13,6,"royds","0809",0.461538461538462
"3c",10,8,"royds","0910",0.8
"3c",12.5,13,"royds","1011",1.04
"3c",8,11,"royds","1112",1.375
"3c",11,11,"royds","1213",1
"3c",15,12,"royds","1415",0.8
"3c",13,13,"royds","1516",1
"3c",11,4,"royds","1617",0.363636363636364
"3c",15,11,"royds","1718",0.733333333333333
"4",2,2,"royds","0506",1
"4",36,20,"royds","0607",0.555555555555556
"4",12.5,8,"royds","1011",0.64
"4",17,16,"royds","1112",0.941176470588235
"4",13,14,"royds","1213",1.07692307692308
"4",22,6,"royds","1415",0.272727272727273
"4",15,8,"royds","1516",0.533333333333333
"4",9,0,"royds","1617",0
"4",8,0,"royds","1718",0
"4-17",79,71,"royds","0304",0.89873417721519
