Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,hk1,58,40,160.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,d1,59,236,944.000000000000000,17,43,26,29.779661016949152,5.616464285609865,7028.000000000000000,26,27,17,28
,g23,60,4,16.000000000000000,48,62,14,56.500000000000000,5.220153254455275,226.000000000000000,4,48,48,57
,g43,61,10,40.000000000000000,28,31,3,29.300000000000001,1.004987562112107,293.000000000000000,4,30,31,29
,f37,62,26,104.000000000000000,30,35,5,32.692307692307693,1.513255044069686,850.000000000000000,5,33,35,33
,g35,63,71,284.000000000000000,22,41,19,34.338028169014088,4.840974357668166,2438.000000000000000,18,38,22,35
,f23,64,10,40.000000000000000,34,36,2,34.700000000000003,0.781024967590572,347.000000000000000,3,34,36,34
,g32,65,10,40.000000000000000,29,33,4,31.399999999999999,1.280624847486556,314.000000000000000,5,31,29,31
,f5,66,41,164.000000000000000,0,18,18,6.146341463414634,4.447860409777509,252.000000000000000,16,5,2,5
,fbeach,67,136,544.000000000000000,0,119,119,50.147058823529413,21.951326307164187,6820.000000000000000,57,45,10,46
,g2,68,23,92.000000000000000,19,32,13,28.304347826086957,3.568397309336211,651.000000000000000,11,29,19,29
,d70,69,5,20.000000000000000,13,16,3,14.800000000000001,1.166190378969056,74.000000000000000,4,16,13,15
,b33,70,9,36.000000000000000,41,46,5,42.777777777777779,1.474055462380147,385.000000000000000,4,42,41,42
,s2-4,71,130,520.000000000000000,9,42,33,28.830769230769231,6.668108325383836,3748.000000000000000,30,33,9,30
,p6,72,223,892.000000000000000,0,27,27,11.170403587443946,7.567787724816250,2491.000000000000000,27,0,1,9
,l17,73,45,180.000000000000000,10,40,30,26.244444444444444,7.694602886455348,1181.000000000000000,25,29,10,28
,l23_1,74,1,4.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,t5,75,32,128.000000000000000,21,27,6,23.375000000000000,1.430690392782450,748.000000000000000,7,22,21,23
,m7,76,56,224.000000000000000,24,41,17,33.553571428571431,4.212734278593982,1879.000000000000000,18,37,24,34
,m6,77,11,44.000000000000000,27,37,10,32.363636363636367,3.337738136488324,356.000000000000000,9,35,27,33
,m31,78,106,424.000000000000000,0,75,75,18.726415094339622,12.349878174380359,1985.000000000000000,31,0,4,20
,m30,79,38,152.000000000000000,8,18,10,12.710526315789474,2.864555579904169,483.000000000000000,11,11,16,12
,m32,80,59,236.000000000000000,6,20,14,11.406779661016950,4.302615066337896,673.000000000000000,15,7,13,10
,m37,81,13,52.000000000000000,0,2,2,0.153846153846154,0.532938710021193,2.000000000000000,2,0,2,0
,g54,82,6,24.000000000000000,33,36,3,34.333333333333336,1.374368541872535,206.000000000000000,3,33,35,33
,t16,83,48,192.000000000000000,22,34,12,28.229166666666668,2.302531065057647,1355.000000000000000,10,30,22,28
,l13,84,119,476.000000000000000,6,46,40,31.529411764705884,9.929011501749725,3752.000000000000000,36,37,7,35
,n22,85,7,28.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,n12,86,15,60.000000000000000,7,9,2,7.800000000000000,0.541602560309063,117.000000000000000,3,8,9,8
,s38,87,27,108.000000000000000,36,44,8,39.000000000000000,1.905158688831361,1053.000000000000000,9,37,36,39
,p40_1,88,19,76.000000000000000,0,4,4,0.421052631578947,1.091391650175143,8.000000000000000,4,0,1,0
,c30-31,89,144,576.000000000000000,0,57,57,27.576388888888889,13.078597795375842,3971.000000000000000,45,17,5,26
,l23_2,90,1,4.000000000000000,2,2,0,2.000000000000000,0.000000000000000,2.000000000000000,1,2,2,2
,s3,91,1,4.000000000000000,32,32,0,32.000000000000000,0.000000000000000,32.000000000000000,1,32,32,32
,d24_2,92,5,20.000000000000000,29,29,0,29.000000000000000,0.000000000000000,145.000000000000000,1,29,29,29
,d24_1,93,25,100.000000000000000,25,32,7,29.199999999999999,1.876166303929372,730.000000000000000,7,30,25,30
,c19-1,94,9,36.000000000000000,3,16,13,7.444444444444445,3.744955454745048,67.000000000000000,8,7,3,7
,n11,95,8,32.000000000000000,0,6,6,2.000000000000000,2.061552812808830,16.000000000000000,6,0,1,1
,b10,96,40,160.000000000000000,31,69,38,42.000000000000000,7.556454194925025,1680.000000000000000,14,41,31,41
,t7,97,64,256.000000000000000,10,20,10,16.578125000000000,2.596901323572962,1061.000000000000000,11,19,10,17
,t18,98,2,8.000000000000000,36,36,0,36.000000000000000,0.000000000000000,72.000000000000000,1,36,36,36
,s33,99,50,200.000000000000000,32,48,16,41.399999999999999,3.979949748426480,2070.000000000000000,17,43,32,43
,d48,100,6,24.000000000000000,6,15,9,9.833333333333334,3.531603350069513,59.000000000000000,4,6,14,9
,p23,101,3,12.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
