in_fid,near_fid,near_dist
5,3,49.99225994990
6,2,25.19105905300
7,3,19.57355401730
8,3,12.07985089810
9,3,7.32085249042
10,3,5.17485135789
11,3,30.58741498280
12,3,39.58796779540
13,5,32.29044733730
14,5,28.96627785080
15,5,32.64947322780
16,7,37.26332933180
17,5,39.08272714060
19,4,33.68780860360
24,7,42.32061115570
26,3,21.40003115640
27,3,26.49192259750
28,2,38.50064781200
29,2,38.87133710510
