"","col","season","subcol","active_ct","ch_ct","prod","area_name"
"156","croz","1415","m23",287,311.5,1.08536585365854,"m"
"157","croz","1516","m23",294,242.5,0.824829931972789,"m"
"158","croz","1617","m23",285.666666666667,318,1.11318553092182,"m"
"159","croz","1718","m23",287,369,1.28571428571429,"m"
"160","croz","0304","m24",18,10,0.555555555555556,"m"
"161","croz","0405","m24",28,20,0.714285714285714,"m"
"162","croz","0506","m24",25,20,0.8,"m"
"163","croz","0607","m24",32,40.3333333333333,1.26041666666667,"m"
"164","croz","0708","m24",30.25,33,1.09090909090909,"m"
"165","croz","0809","m24",36,32,0.888888888888889,"m"
"166","croz","0910","m24",40,41,1.025,"m"
"167","croz","1011","m24",42,41,0.976190476190476,"m"
"168","croz","1112","m24",32.6666666666667,32,0.979591836734693,"m"
"169","croz","1213","m24",30.3333333333333,33,1.08791208791209,"m"
"170","croz","1314","m24",44.5,38,0.853932584269663,"m"
"171","croz","1415","m24",39.5,42,1.06329113924051,"m"
"172","croz","1516","m24",37.3333333333333,41,1.09821428571429,"m"
"173","croz","0304","m25",33,17,0.515151515151515,"m"
"174","croz","0405","m25",73,32,0.438356164383562,"m"
"175","croz","0506","m25",64,74,1.15625,"m"
"176","croz","0607","m25",66,85.3333333333333,1.29292929292929,"m"
"177","croz","0708","m25",58,74.6666666666667,1.28735632183908,"m"
"178","croz","0809","m25",62,63,1.01612903225806,"m"
"179","croz","0910","m25",65,58,0.892307692307692,"m"
"180","croz","1011","m25",80,79,0.9875,"m"
"181","croz","1112","m25",71.5,79.6666666666667,1.11421911421911,"m"
"182","croz","1213","m25",62.3333333333333,51,0.818181818181819,"m"
"183","croz","1314","m25",74.5,58,0.778523489932886,"m"
"184","croz","1415","m25",62.625,61.5,0.982035928143713,"m"
"185","croz","1516","m25",62,66,1.06451612903226,"m"
"186","croz","1617","m25",66.6666666666667,77.5,1.1625,"m"
"187","croz","1718","m25",68.5,97,1.41605839416058,"m"
"188","croz","0203","m26",65,30,0.461538461538462,"m"
"189","croz","0304","m26",22,14,0.636363636363636,"m"
"190","croz","0405","m26",42,33,0.785714285714286,"m"
"191","croz","0506","m26",41,42,1.02439024390244,"m"
"192","croz","0607","m26",36,49,1.36111111111111,"m"
"193","croz","0708","m26",39.5,64,1.62025316455696,"m"
"194","croz","0809","m26",50,48,0.96,"m"
"195","croz","0203","m27",76,65,0.855263157894737,"m"
"196","croz","0304","m27",53,28,0.528301886792453,"m"
"197","croz","0405","m27",88,52,0.590909090909091,"m"
"198","croz","0506","m27",91,100,1.0989010989011,"m"
"199","croz","0607","m27",82,107.5,1.3109756097561,"m"
"200","croz","0708","m27",78,89.6666666666667,1.14957264957265,"m"
"201","croz","0809","m27",80,91,1.1375,"m"
"202","croz","0910","m27",77.6666666666667,72,0.927038626609442,"m"
"203","croz","1011","m27",98,95,0.969387755102041,"m"
"204","croz","1112","m27",75,73.3333333333333,0.977777777777777,"m"
"205","croz","1213","m27",81.3333333333333,84,1.0327868852459,"m"
"206","croz","1314","m27",103.5,109.666666666667,1.05958132045089,"m"
"207","croz","1415","m27",96,91.5,0.953125,"m"
"208","croz","1516","m27",85.6666666666667,67.5,0.787937743190661,"m"
"209","croz","1617","m27",94.6,95,1.00422832980973,"m"
"210","croz","1718","m27",116,114,0.982758620689655,"m"
"211","croz","0203","m28",56,65,1.16071428571429,"m"
"212","croz","0304","m28",36,13,0.361111111111111,"m"
"213","croz","0405","m28",74,54,0.72972972972973,"m"
"214","croz","0506","m28",79,83,1.05063291139241,"m"
"215","croz","0607","m28",75,84.5,1.12666666666667,"m"
"216","croz","0708","m28",72,88,1.22222222222222,"m"
"217","croz","0809","m28",78,70,0.897435897435897,"m"
"218","croz","0910","m28",78,75,0.961538461538462,"m"
"219","croz","1011","m28",102,101,0.990196078431373,"m"
"220","croz","1112","m28",85.25,96.6666666666667,1.13391984359726,"m"
"221","croz","1213","m28",86.3333333333333,86,0.996138996138996,"m"
"222","croz","1314","m28",109.75,83,0.75626423690205,"m"
"223","croz","1415","m28",124.5,112,0.899598393574297,"m"
"224","croz","1516","m28",105.722222222222,104.5,0.988439306358384,"m"
"225","croz","1617","m28",127,129,1.01574803149606,"m"
"226","croz","1718","m28",154,174.5,1.13311688311688,"m"
"227","croz","0203","m29",86,38,0.441860465116279,"m"
"228","croz","0304","m29",30,12,0.4,"m"
"229","croz","0405","m29",58,39,0.672413793103448,"m"
"230","croz","0506","m29",55,55,1,"m"
"231","croz","0607","m29",52,66.5,1.27884615384615,"m"
"232","croz","0708","m29",55,55,1,"m"
"233","croz","0809","m29",51,47,0.92156862745098,"m"
"234","croz","0910","m29",56,54,0.964285714285714,"m"
"235","croz","1011","m29",71,70,0.985915492957746,"m"
"236","croz","1112","m29",67.25,62.6666666666667,0.93184634448575,"m"
"237","croz","1213","m29",81.5,88,1.07975460122699,"m"
"238","croz","1314","m29",82.75,63.3333333333333,0.765357502517623,"m"
"239","croz","1415","m29",82.5,83,1.00606060606061,"m"
"240","croz","1516","m29",84.6666666666667,89,1.0511811023622,"m"
"241","croz","1617","m29",97,95.5,0.984536082474227,"m"
"242","croz","1718","m29",103.666666666667,119.333333333333,1.15112540192926,"m"
"243","croz","0304","m30",48,24,0.5,"m"
"244","croz","0405","m30",104,90,0.865384615384615,"m"
"245","croz","0506","m30",117,110,0.94017094017094,"m"
"246","croz","0607","m30",128,157.333333333333,1.22916666666666,"m"
"247","croz","0708","m30",137,143.333333333333,1.04622871046228,"m"
"248","croz","0809","m30",132,130,0.984848484848485,"m"
"249","croz","0910","m30",141,128,0.907801418439716,"m"
"250","croz","1112","m30",173.25,179.333333333333,1.03511303511303,"m"
"251","croz","1213","m30",202,167.5,0.829207920792079,"m"
"252","croz","1314","m30",200,151.333333333333,0.756666666666665,"m"
"253","croz","1415","m30",234.5,205,0.874200426439232,"m"
"254","croz","1516","m30",204.666666666667,192.5,0.940553745928337,"m"
"255","croz","1617","m30",222.5,203.5,0.914606741573034,"m"
"256","croz","1718","m30",195,209,1.07179487179487,"m"
"257","croz","0506","m31",484,435,0.898760330578512,"m"
"258","croz","0607","m31",426,516.75,1.21302816901408,"m"
"259","croz","0708","m31",430,448.666666666667,1.04341085271318,"m"
"260","croz","0809","m31",489,500,1.02249488752556,"m"
"261","croz","0910","m31",548.5,328,0.59799453053783,"m"
"262","croz","1112","m31",560.75,589,1.05037895675435,"m"
"263","croz","1213","m31",593.666666666667,482.5,0.812745648512071,"m"
"264","croz","1314","m31",534.75,478,0.893875642823749,"m"
"265","croz","1415","m31",591.5,701.5,1.18596787827557,"m"
"266","croz","1516","m31",552.5,563.5,1.01990950226244,"m"
"267","croz","1617","m31",611.5,525,0.858544562551104,"m"
"268","croz","1718","m31",574.5,768.5,1.33768494342907,"m"
"269","croz","0405","m32",278,211,0.758992805755396,"m"
"270","croz","0506","m32",298,272,0.912751677852349,"m"
"271","croz","0607","m32",299,368.25,1.23160535117057,"m"
"272","croz","0708","m32",307.333333333333,351.666666666667,1.14425162689805,"m"
"273","croz","0809","m32",321,318,0.990654205607477,"m"
"274","croz","0910","m32",317.25,465,1.46572104018913,"m"
"275","croz","1112","m32",342.5,367.666666666667,1.07347931873479,"m"
"276","croz","1213","m32",373.333333333333,312.5,0.837053571428572,"m"
"277","croz","1314","m32",308.25,270,0.875912408759124,"m"
"278","croz","1415","m32",341,387,1.13489736070381,"m"
"279","croz","1516","m32",340.5,296,0.869309838472834,"m"
"280","croz","1617","m32",373.666666666667,356,0.952720785013381,"m"
"281","croz","1718","m32",387,375,0.968992248062015,"m"
"282","croz","0405","m33-34-35",896,530,0.591517857142857,"m"
"283","croz","0506","m33-34-35",885,879,0.993220338983051,"m"
"284","croz","0607","m33-34-35",866,1094.75,1.2641454965358,"m"
"285","croz","0708","m33-34-35",908.5,1018,1.12052834342323,"m"
"286","croz","0809","m33-34-35",982,982,1,"m"
"287","croz","0910","m33-34-35",1059,936,0.88385269121813,"m"
"288","croz","1112","m33-34-35",1125.5,1101.33333333333,0.978528061602248,"m"
"289","croz","1213","m33-34-35",1015,990,0.975369458128079,"m"
"290","croz","1314","m33-34-35",1066,833.666666666667,0.782051282051282,"m"
"291","croz","1415","m33-34-35",1096.66666666667,1325,1.20820668693009,"m"
"292","croz","1516","m33-34-35",1100.16666666667,943.5,0.85759733373731,"m"
"293","croz","1617","m33-34-35",1155.66666666667,951,0.822901644072685,"m"
"294","croz","1718","m33-34-35",1232,1405,1.14042207792208,"m"
"295","croz","0405","m38",244,185,0.758196721311475,"m"
"296","croz","0506","m38",246,265,1.07723577235772,"m"
"297","croz","0607","m38",232,282.75,1.21875,"m"
"298","croz","0708","m38",233.25,245.333333333333,1.05180421579135,"m"
"299","croz","0809","m38",270,286,1.05925925925926,"m"
"300","croz","0910","m38",254,256,1.00787401574803,"m"
"301","croz","1112","m38",260.666666666667,289.666666666667,1.11125319693095,"m"
"302","croz","1213","m38",229.5,240.5,1.0479302832244,"m"
"303","croz","1314","m38",275,219.25,0.797272727272727,"m"
"304","croz","1415","m38",304.75,247.333333333333,0.81159420289855,"m"
"305","croz","1516","m38",276.333333333333,247.5,0.8956574185766,"m"
"306","croz","1617","m38",291,272,0.934707903780069,"m"
"307","croz","1718","m38",262,367,1.40076335877863,"m"
"308","croz","0506","m39",354,364,1.02824858757062,"m"
"309","croz","0607","m39",346,434.75,1.25650289017341,"m"
"310","croz","0708","m39",343.25,380.666666666667,1.10900704054382,"m"
"311","croz","0910","m39",407.333333333333,393,0.964811783960721,"m"
"312","croz","0405","m4",140,130,0.928571428571429,"m"
"313","croz","0506","m4",143,142,0.993006993006993,"m"
"314","croz","0607","m4",134,173.75,1.29664179104478,"m"
"315","croz","0708","m4",136,138,1.01470588235294,"m"
"316","croz","0809","m4",137,137,1,"m"
"317","croz","0910","m4",127.333333333333,111,0.871727748691102,"m"
"318","croz","1011","m4",139,142,1.02158273381295,"m"
"319","croz","1112","m4",115.25,158,1.37093275488069,"m"
"320","croz","1213","m4",100.333333333333,104.5,1.04152823920266,"m"
"321","croz","1314","m4",116.5,112.333333333333,0.964234620886979,"m"
"322","croz","1415","m4",130.75,140,1.07074569789675,"m"
"323","croz","1516","m4",134.5,110.5,0.821561338289963,"m"
"324","croz","1617","m4",134.5,119,0.884758364312268,"m"
"325","croz","1718","m4",136,189,1.38970588235294,"m"
"326","croz","0506","m40",347,292,0.84149855907781,"m"
"327","croz","0607","m40",355,372.75,1.05,"m"
"328","croz","0708","m40",386,393.333333333333,1.01899827288428,"m"
"329","croz","0910","m40",464.666666666667,414,0.890961262553801,"m"
"330","croz","0506","m5",272,284,1.04411764705882,"m"
"331","croz","0607","m5",245,298.5,1.21836734693878,"m"
"332","croz","0708","m5",239,340.666666666667,1.42538354253836,"m"
"333","croz","0809","m5",238,278,1.16806722689076,"m"
"334","croz","0910","m5",259.333333333333,247,0.952442159383035,"m"
"335","croz","1112","m5",238.25,283.333333333333,1.18922700244841,"m"
"336","croz","1213","m5",225.666666666667,229.5,1.01698670605613,"m"
"337","croz","1314","m5",265.75,241.333333333333,0.908121668234555,"m"
"338","croz","1415","m5",246,252,1.02439024390244,"m"
"339","croz","1516","m5",251.5,237,0.94234592445328,"m"
"340","croz","1617","m5",244,257,1.05327868852459,"m"
"341","croz","1718","m5",236,337.5,1.43008474576271,"m"
"342","croz","0405","m6",103,52,0.504854368932039,"m"
"343","croz","0506","m6",96,98,1.02083333333333,"m"
"344","croz","0607","m6",77,108,1.4025974025974,"m"
"345","croz","0708","m6",81.5,81,0.993865030674847,"m"
"346","croz","0809","m6",81,69,0.851851851851852,"m"
"347","croz","0910","m6",78.3333333333333,79,1.00851063829787,"m"
"348","croz","1011","m6",94,105,1.11702127659574,"m"
"349","croz","1112","m6",82.75,86.6666666666667,1.04733131923464,"m"
"350","croz","1213","m6",80.3333333333333,92.5,1.15145228215768,"m"
"351","croz","1314","m6",86.75,68,0.783861671469741,"m"
"352","croz","1415","m6",90.3333333333333,88.5,0.979704797047971,"m"
"353","croz","1516","m6",88,86.5,0.982954545454545,"m"
"354","croz","1718","m6",101.5,128,1.26108374384236,"m"
"355","croz","0506","m6a",36,30,0.833333333333333,"m"
"356","croz","0607","m6a",36,48.5,1.34722222222222,"m"
"357","croz","0708","m6a",41,32,0.780487804878049,"m"
"358","croz","0809","m6a",39,42,1.07692307692308,"m"
"359","croz","0910","m6a",46.75,49,1.04812834224599,"m"
"360","croz","1011","m6a",73,77,1.05479452054795,"m"
"361","croz","1112","m6a",67.3333333333333,56.3333333333333,0.836633663366337,"m"
"362","croz","1213","m6a",70.5,71.5,1.01418439716312,"m"
"363","croz","1314","m6a",101.75,80.3333333333333,0.789516789516789,"m"
"364","croz","1415","m6a",98.5,91,0.923857868020305,"m"
"365","croz","1516","m6a",120.5,92.5,0.767634854771784,"m"
"366","croz","1718","m6a",195,257,1.31794871794872,"m"
"367","croz","0405","m7",307,239,0.778501628664495,"m"
"368","croz","0506","m7",314,323,1.02866242038217,"m"
"369","croz","0607","m7",283,377,1.3321554770318,"m"
"370","croz","0708","m7",285.666666666667,243,0.850641773628937,"m"
"371","croz","0809","m7",316,342,1.08227848101266,"m"
"372","croz","0910","m7",323.666666666667,337,1.04119464469619,"m"
"373","croz","1112","m7",348.166666666667,385.666666666667,1.10770703685974,"m"
"374","croz","1213","m7",343,336,0.979591836734694,"m"
"375","croz","1314","m7",288.75,233,0.806926406926407,"m"
"376","croz","1415","m7",363.5,374.5,1.0302613480055,"m"
"377","croz","1516","m7",337,330.5,0.980712166172107,"m"
"378","croz","1617","m7",331.5,314.5,0.948717948717949,"m"
"379","croz","1718","m7",341,409.5,1.20087976539589,"m"
"380","croz","0405","m9-10",521,462,0.886756238003839,"m"
"381","croz","0506","m9-10",545,532,0.976146788990826,"m"
"382","croz","0607","m9-10",495,619.5,1.25151515151515,"m"
"383","croz","0708","m9-10",498.75,583.333333333333,1.16959064327485,"m"
"384","croz","0809","m9-10",572,557,0.973776223776224,"m"
"385","croz","0910","m9-10",522.666666666667,505,0.966198979591836,"m"
"386","croz","1617","mis",16.5,12,0.727272727272727,"m"
"387","croz","1718","mis",110,161,1.46363636363636,"m"
