"","X.1","X","Bandnumb","Orig_col","Br_col","Season","Breeder","Result","Success","Area","Type","Sex","Cohort","Age","Br_exp","Device","Notes","Hatching.date","fitval","diff_success","BQI","BQI_A","season_yr","season","lat","lon"
"1",595,649,31840,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","U",2008,7,1,"","",NA,0.227159303388654,0.772840696611346,0.169287273745698,0.32017562946211,2015,"1516",-77.452282,169.233313
"2",596,650,31840,"CROZ","CROZ",2016,1,"CR1?",1,"M","KA","U",2008,8,2,"","",NA,0.437415662716475,0.562584337283525,0.32017562946211,0.368657371026393,2016,"1617",-77.452286,169.233298
"3",605,660,31884,"CROZ","CROZ",2015,1,"FAIL",0,"M","KA","M",2008,7,0,"","",NA,0.125497969851325,-0.125497969851325,-0.0896558256959204,-0.0968242545270013,2015,"1516",-77.452998,169.231533
"4",607,662,31884,"CROZ","CROZ",2017,1,"CR2?",1,"M","KA","U",2008,9,1,"","",NA,0.62531925218041,0.37468074781959,-0.146112727412597,-0.0717136595222845,2017,"1718",-77.453011,169.231521
"5",628,684,31948,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","F",2008,8,0,"","",NA,0.239845226561173,-0.239845226561173,-0.125497969851325,-0.182671598206249,2016,"1617",-77.452762,169.232734
"6",629,685,31948,"CROZ","CROZ",2017,1,"CR2?",1,"M","KA","F",2008,9,1,"","",NA,0.62531925218041,0.37468074781959,-0.182671598206249,0.00311251713569733,2017,"1718",-77.452745,169.232252
"7",642,699,31977,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","M",2008,6,0,"","",NA,0.14140664296924,0.85859335703076,-0.0724055532714805,0.16034417430408,2014,"1415",-77.452958,169.233439
"8",643,700,31977,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","M",2008,7,1,"","",NA,0.227159303388654,0.772840696611346,0.16034417430408,0.282843478765533,2015,"1516",-77.452965,169.233213
"9",644,701,31977,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","M",2008,8,2,"","",NA,0.437415662716475,-0.437415662716475,0.282843478765533,0.162800288518532,2016,"1617",-77.452965,169.233317
"10",645,702,31977,"CROZ","CROZ",2017,1,"CR",1,"M","KA","M",2008,9,3,"","",NA,0.667547921491099,0.332452078508901,0.162800288518532,0.187036258517156,2017,"1718",-77.452974,169.233216
"11",651,709,31979,"CROZ","CROZ",2016,1,"CR1",1,"M","KA","M",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,0.0606772219783264,0.151805169675176,2016,"1617",-77.4528,169.233036
"12",667,727,32019,"CROZ","CROZ",2015,1,"FAIL",0,"M","KA","M",2008,7,0,"","",NA,0.125497969851325,-0.125497969851325,-0.0896558256959204,-0.0968242545270013,2015,"1516",-77.452738,169.233929
"13",668,728,32019,"CROZ","CROZ",2016,1,"CR2",1,"M","KA","M",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,-0.0968242545270014,0.0205539392540698,2016,"1617",-77.452739,169.233854
"14",690,751,32087,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","M",2008,7,0,"","",NA,0.125497969851325,0.874502030148675,-0.101826620486188,0.142255542172528,2015,"1516",-77.451885,169.233045
"15",702,764,32107,"CROZ","CROZ",2015,1,"FAIL",0,"L","KA","F",2008,7,0,"","",NA,0.125497969851325,-0.125497969851325,-0.0896558256959204,-0.0968242545270013,2015,"1516",-77.453342,169.239546
"16",703,765,32107,"CROZ","CROZ",2016,1,"CR8?",1,"L","KA","F",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,-0.0968242545270014,0.0205539392540698,2016,"1617",-77.453336,169.239575
"17",714,776,32124,"CROZ","CROZ",2016,1,"CR2",1,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,0.0455118153046644,0.139167330780458,2016,"1617",-77.451936,169.231712
"18",721,784,32159,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","F",2008,6,0,"","",NA,0.14140664296924,0.85859335703076,-0.0820366092446616,0.231506712847146,2014,"1415",-77.452699,169.233712
"19",723,786,32159,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,-0.392555091840575,0.116840208788196,0.0149611486624416,2016,"1617",-77.452736,169.233605
"20",724,787,32159,"CROZ","CROZ",2017,1,"FAIL",0,"M","KA","F",2008,9,2,"","",NA,0.667547921491099,-0.667547921491099,0.0149611486624416,-0.0987903630298152,2017,"1718",-77.452706,169.233607
"21",732,796,32189,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","M",2008,8,0,"","",NA,0.239845226561173,-0.239845226561173,-0.133452306410283,-0.168916613127246,2016,"1617",-77.45233,169.23314
"22",737,801,32204,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","F",2008,6,0,"","",NA,0.14140664296924,0.85859335703076,-0.0820366092446616,0.231506712847146,2014,"1415",-77.452215,169.232344
"23",739,803,32204,"CROZ","CROZ",2016,1,"CR1?",1,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,0.116840208788196,0.214961148662442,2016,"1617",-77.452229,169.232371
"24",740,804,32204,"CROZ","CROZ",2017,1,"CR1?",1,"M","KA","F",2008,9,2,"","",NA,0.667547921491099,0.332452078508901,0.214961148662442,0.234542970303518,2017,"1718",-77.45221,169.232267
"25",748,813,32221,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,-0.392555091840575,-0.160867612195812,-0.207205108124765,2016,"1617",-77.452217,169.232717
"26",757,822,32248,"CROZ","CROZ",2014,0,"NB",0,"M","KA","F",2008,6,1,"","",NA,0.252237926905273,-0.252237926905273,-0.0820366092446616,-0.138770381798199,2014,"1415",-77.452311,169.235546
"27",759,824,32248,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,-0.392555091840575,-0.160867612195812,-0.207205108124765,2016,"1617",-77.452443,169.234387
"28",789,857,32348,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","M",2008,6,0,"","",NA,0.14140664296924,0.85859335703076,-0.0724055532714805,0.16034417430408,2014,"1415",-77.452634,169.229696
"29",790,858,32348,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","M",2008,7,1,"","",NA,0.227159303388654,0.772840696611346,0.16034417430408,0.282843478765533,2015,"1516",-77.452601,169.2296
"30",791,859,32348,"CROZ","CROZ",2016,1,"CR1?",1,"M","KA","M",2008,8,2,"","",NA,0.437415662716475,0.562584337283525,0.282843478765533,0.329466955185198,2016,"1617",-77.452611,169.229638
"31",794,862,32355,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","F",2008,6,1,"","",NA,0.252237926905273,0.747762073094727,-0.0820366092446616,0.194562951535135,2014,"1415",-77.452505,169.234611
"32",795,863,32355,"CROZ","CROZ",2015,1,"FAIL?",0,"M","KA","F",2008,7,2,"","",NA,0.261247650784422,-0.261247650784422,0.194562951535135,0.0806103009552454,2015,"1516",-77.452521,169.234496
"33",824,896,32426,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","M",2008,6,1,"","",NA,0.252237926905273,0.747762073094727,0.260927780061853,0.382636353320071,2014,"1415",-77.452254,169.234811
"34",827,899,32426,"CROZ","CROZ",2017,1,"CR2?",1,"M","KA","M",2008,9,2,"","",NA,0.667547921491099,0.332452078508901,0.138647016629898,0.166333454041184,2017,"1718",-77.452265,169.23486
"35",844,917,32462,"CROZ","CROZ",2016,1,"CR2?",1,"M","KA","F",2008,8,1,"","",NA,0.392555091840575,0.607444908159425,0.0891323878041876,0.192794891875235,2016,"1617",-77.452324,169.230566
"36",845,918,32462,"CROZ","CROZ",2017,1,"CR2?",1,"M","KA","F",2008,9,2,"","",NA,0.667547921491099,0.332452078508901,0.192794891875235,0.216071089647513,2017,"1718",-77.452268,169.230599
"37",881,958,32565,"CROZ","CROZ",2015,1,"CR8?",1,"M","KA","M",2008,7,3,"","",NA,0.261247650784422,0.738752349215578,0.354568101289018,0.43140495087433,2015,"1516",-77.452212,169.233487
"38",882,959,32565,"CROZ","CROZ",2016,1,"CR",1,"M","KA","U",2008,8,4,"","",NA,0.437415662716475,0.562584337283525,0.43140495087433,0.453268181942529,2016,"1617",-77.452258,169.233268
"39",1852,1999,41336,"CROZ","CROZ",2014,1,"CR1?",1,"C","KA","F",1997,17,10,"","",NA,0.388589181983716,0.611410818016284,-0.0576420470191548,-0.00617644201642876,2014,"1415",-77.452891,169.226275
"40",1853,2000,41336,"CROZ","CROZ",2015,1,"FAIL?",0,"C","KA","F",1997,18,11,"","",NA,0.208547703413835,-0.208547703413835,-0.00617644201642873,-0.0206315321162435,2015,"1516",-77.452909,169.226295
"41",1854,2001,41336,"CROZ","CROZ",2016,1,"CR1?",1,"C","KA","F",1997,19,12,"","",NA,0.205787569076659,0.794212430923341,-0.0206315321162434,0.0336913987530621,2016,"1617",-77.452911,169.226338
"42",2469,2628,41854,"CROZ","CROZ",2015,1,"FAIL",0,"M","KA","F",1997,18,11,"","",NA,0.208547703413835,-0.208547703413835,0.167792855173516,0.144271570261806,2015,"1516",-77.453059,169.23308
"43",2470,2629,41854,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","F",1997,19,12,"","",NA,0.205787569076659,-0.205787569076659,0.144271570261806,0.123679856183073,2016,"1617",-77.453079,169.23314
"44",2471,2630,41854,"CROZ","CROZ",2017,1,"CR2?",1,"M","KA","F",1997,20,13,"","",NA,0.219553369988245,0.780446630011755,0.123679856183073,0.160166899173555,2017,"1718",-77.453119,169.233295
"45",2809,2988,42317,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","M",1998,16,9,"","",NA,0.467974791062496,0.532025208937504,0.0327196157262365,0.0711277382809495,2014,"1415",-77.452459,169.231637
"46",2810,2989,42317,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","M",1998,17,10,"","",NA,0.286370978681183,0.713629021318817,0.0711277382809493,0.117020687069369,2015,"1516",-77.452476,169.231663
"47",2811,2990,42317,"CROZ","CROZ",2016,1,"FAIL",0,"M","KA","M",1998,18,11,"","",NA,0.303941946031815,-0.303941946031815,0.117020687069368,0.0889565115292897,2016,"1617",-77.452498,169.231691
"48",2812,2991,42317,"CROZ","CROZ",2017,1,"FAIL",0,"M","KA","M",1998,19,12,"","",NA,0.345370788776473,-0.345370788776473,0.0889565115292895,0.0618110552601795,2017,"1718",-77.452429,169.23179
"49",3439,3652,43318,"CROZ","CROZ",2014,1,"CR1?",1,"L","KA","M",1999,15,6,"","",NA,0.526640670072765,0.473359329927235,0.00550943910712285,0.0414978922471314,2014,"1415",-77.453475,169.2388
"50",3440,3653,43318,"CROZ","CROZ",2015,1,"FAIL",0,"L","KA","M",1999,16,7,"","",NA,0.357069729709882,-0.357069729709882,0.0414978922471315,0.013028776393059,2015,"1516",-77.453413,169.238163
"51",3441,3654,43318,"CROZ","CROZ",2016,1,"CR8",1,"L","KA","M",1999,17,8,"","",NA,0.399399048077002,0.600600951922998,0.0130287763930591,0.0522002547617216,2016,"1617",-77.453445,169.238189
"52",3442,3655,43318,"CROZ","CROZ",2017,0,"NB",0,"L","KA","M",1999,18,9,"","",NA,0.470648735787629,-0.470648735787629,0.0522002547617216,0.0195221928523872,2017,"1718",-77.453431,169.238245
"53",3817,4040,43522,"CROZ","CROZ",2014,1,"CR1?",1,"M","KA","M",1999,15,5,"","",NA,0.526640670072765,0.473359329927235,0.0138415768851859,0.0556159180708266,2014,"1415",-77.453002,169.233414
"54",3818,4041,43522,"CROZ","CROZ",2015,1,"CR1?",1,"M","KA","M",1999,16,6,"","",NA,0.357069729709882,0.642930270290118,0.0556159180708267,0.104558780755768,2015,"1516",-77.453007,169.233439
"55",3819,4042,43522,"CROZ","CROZ",2016,1,"CR8?",1,"M","KA","M",1999,17,7,"","",NA,0.399399048077002,0.600600951922998,0.104558780755768,0.142715870845555,2016,"1617",-77.452987,169.233374
"56",3820,4043,43522,"CROZ","CROZ",2017,1,"FAIL",0,"M","KA","M",1999,18,8,"","",NA,0.470648735787629,-0.470648735787629,0.142715870845555,0.0989041132288986,2017,"1718",-77.453006,169.233399
"57",3886,4112,43575,"CROZ","CROZ",2015,1,"CR2?",1,"M","KA","F",1999,16,9,"","",NA,0.357069729709882,0.642930270290118,-0.0521637836800556,-0.00251420839647177,2015,"1516",-77.452891,169.233286
"58",3888,4114,43575,"CROZ","CROZ",2017,1,"CR1?",1,"M","KA","F",1999,18,10,"","",NA,0.470648735787629,0.529351264212371,-0.0289731977085072,0.00592208116154776,2017,"1718",-77.452904,169.233308
"59",4011,4239,43655,"CROZ","CROZ",2014,1,"CR8?",1,"M","KA","F",1999,15,8,"","",NA,0.526640670072765,0.473359329927235,0.00273553333859482,0.045519514846653,2014,"1415",-77.453106,169.233644
